,close,datetime,exchange_code,high,low,open,stock_code,volume
0,31500.0,2024-02-21 09:07:00,NSE,31500.0,31500.0,31500.0,3MIND,0
1,31423.85,2024-02-21 09:15:00,NSE,31500.0,31423.85,31500.0,3MIND,10
2,31498.2,2024-02-21 09:16:00,NSE,31498.2,31423.85,31423.85,3MIND,18
3,31490.8,2024-02-21 09:17:00,NSE,31490.8,31490.8,31490.8,3MIND,3
4,31490.85,2024-02-21 09:18:00,NSE,31490.85,31490.8,31490.8,3MIND,4
5,31490.85,2024-02-21 09:19:00,NSE,31490.85,31490.85,31490.85,3MIND,0
6,31515.5,2024-02-21 09:20:00,NSE,31515.5,31490.85,31490.85,3MIND,3
7,31317.05,2024-02-21 09:21:00,NSE,31515.5,31317.05,31515.5,3MIND,62
8,31332.15,2024-02-21 09:22:00,NSE,31332.15,31300.0,31313.0,3MIND,22
9,31341.15,2024-02-21 09:23:00,NSE,31341.15,31332.15,31332.15,3MIND,3
10,31332.15,2024-02-21 09:24:00,NSE,31342.95,31332.15,31341.15,3MIND,26
11,31323.05,2024-02-21 09:25:00,NSE,31332.15,31267.6,31332.15,3MIND,24
12,31323.05,2024-02-21 09:26:00,NSE,31323.05,31323.05,31323.05,3MIND,1
13,31358.0,2024-02-21 09:27:00,NSE,31358.0,31323.1,31323.1,3MIND,8
14,31366.65,2024-02-21 09:28:00,NSE,31384.15,31358.0,31358.0,3MIND,4
15,31400.0,2024-02-21 09:29:00,NSE,31400.0,31366.65,31366.65,3MIND,7
16,31344.3,2024-02-21 09:30:00,NSE,31400.0,31293.3,31400.0,3MIND,63
17,31381.55,2024-02-21 09:31:00,NSE,31381.55,31344.3,31344.3,3MIND,5
18,31381.55,2024-02-21 09:32:00,NSE,31381.55,31381.55,31381.55,3MIND,0
19,31381.55,2024-02-21 09:33:00,NSE,31381.55,31381.55,31381.55,3MIND,0
20,31381.55,2024-02-21 09:34:00,NSE,31381.55,31381.55,31381.55,3MIND,0
