,Unnamed: 0,close,datetime,exchange_code,high,low,open,stock_code,volume
0,0,200.0,2024-03-02 09:08:00,NSE,200.0,200.0,200.0,BANBAN,0
1,1,201.05,2024-03-02 09:15:00,NSE,201.35,200.5,200.5,BANBAN,40094
2,2,201.2,2024-03-02 09:16:00,NSE,201.25,201.0,201.1,BANBAN,26605
3,3,200.5,2024-03-02 09:17:00,NSE,201.2,200.2,201.2,BANBAN,28326
4,4,200.7,2024-03-02 09:18:00,NSE,200.75,200.5,200.7,BANBAN,7275
5,5,200.45,2024-03-02 09:19:00,NSE,200.7,200.25,200.7,BANBAN,20223
6,6,200.45,2024-03-02 09:20:00,NSE,200.45,200.15,200.4,BANBAN,10347
7,7,200.6,2024-03-02 09:21:00,NSE,200.65,200.35,200.45,BANBAN,9628
8,8,200.8,2024-03-02 09:22:00,NSE,200.8,200.55,200.6,BANBAN,8622
9,9,200.8,2024-03-02 09:23:00,NSE,200.85,200.6,200.8,BANBAN,11724
10,10,200.75,2024-03-02 09:24:00,NSE,201.0,200.55,200.85,BANBAN,30810
11,11,200.75,2024-03-02 09:25:00,NSE,200.75,200.5,200.55,BANBAN,8839
12,12,200.8,2024-03-02 09:26:00,NSE,201.0,200.75,200.75,BANBAN,23890
13,13,200.95,2024-03-02 09:27:00,NSE,200.95,200.75,200.8,BANBAN,4091
14,14,200.95,2024-03-02 09:28:00,NSE,200.95,200.75,200.95,BANBAN,6667
15,15,201.15,2024-03-02 09:29:00,NSE,201.15,200.85,200.9,BANBAN,19008
16,16,200.55,2024-03-02 09:30:00,NSE,201.2,200.5,201.0,BANBAN,31929
17,17,200.35,2024-03-02 09:31:00,NSE,200.65,200.3,200.5,BANBAN,23403
18,18,200.95,2024-03-02 09:32:00,NSE,201.0,200.15,200.35,BANBAN,20798
19,19,200.85,2024-03-02 09:33:00,NSE,201.0,200.7,200.7,BANBAN,18817
20,20,200.85,2024-03-02 09:34:00,NSE,200.85,200.7,200.85,BANBAN,2542
21,21,200.85,2024-03-02 09:35:00,NSE,200.85,200.75,200.85,BANBAN,3351
22,22,200.8,2024-03-02 09:36:00,NSE,200.85,200.7,200.85,BANBAN,8469
23,23,200.75,2024-03-02 09:37:00,NSE,200.85,200.55,200.7,BANBAN,7592
24,24,200.8,2024-03-02 09:38:00,NSE,200.85,200.6,200.75,BANBAN,6064
25,25,200.85,2024-03-02 09:39:00,NSE,200.85,200.7,200.7,BANBAN,3850
26,26,200.85,2024-03-02 09:40:00,NSE,200.9,200.75,200.85,BANBAN,8635
27,27,200.85,2024-03-02 09:41:00,NSE,200.9,200.85,200.85,BANBAN,2070
28,28,200.8,2024-03-02 09:42:00,NSE,200.9,200.75,200.85,BANBAN,3723
29,29,200.6,2024-03-02 09:43:00,NSE,200.8,200.6,200.8,BANBAN,7514
30,30,200.8,2024-03-02 09:44:00,NSE,200.8,200.6,200.6,BANBAN,5705
31,31,200.8,2024-03-02 09:45:00,NSE,200.8,200.7,200.8,BANBAN,4501
32,32,200.6,2024-03-02 09:46:00,NSE,200.8,200.6,200.6,BANBAN,2189
33,33,200.7,2024-03-02 09:47:00,NSE,200.7,200.6,200.7,BANBAN,2989
34,34,200.7,2024-03-02 09:48:00,NSE,200.8,200.6,200.65,BANBAN,7865
35,35,200.75,2024-03-02 09:49:00,NSE,200.8,200.6,200.7,BANBAN,1968
36,36,200.65,2024-03-02 09:50:00,NSE,200.75,200.6,200.6,BANBAN,1885
37,37,200.55,2024-03-02 09:51:00,NSE,200.7,200.5,200.6,BANBAN,8521
38,38,200.55,2024-03-02 09:52:00,NSE,200.55,200.45,200.55,BANBAN,7582
39,39,200.55,2024-03-02 09:53:00,NSE,200.55,200.45,200.55,BANBAN,4119
40,40,200.7,2024-03-02 09:54:00,NSE,200.75,200.45,200.55,BANBAN,27536
