close,datetime,exchange_code,high,low,open,stock_code,volume
2499.0,2024-06-21 09:07:00,NSE,2499.0,2499.0,2499.0,GRASIM,0
2511.35,2024-06-21 09:15:00,NSE,2515.6,2499.05,2499.05,GRASIM,12362
2505.75,2024-06-21 09:16:00,NSE,2513.7,2505.75,2510.45,GRASIM,10147
2505.1,2024-06-21 09:17:00,NSE,2507.85,2501.0,2505.7,GRASIM,3331
2499.0,2024-06-21 09:18:00,NSE,2506.15,2499.0,2505.1,GRASIM,4189
2494.15,2024-06-21 09:19:00,NSE,2500.3,2494.15,2500.0,GRASIM,3655
2493.45,2024-06-21 09:20:00,NSE,2495.2,2490.75,2495.2,GRASIM,4691
2490.0,2024-06-21 09:21:00,NSE,2492.35,2488.5,2491.0,GRASIM,3007
2492.85,2024-06-21 09:22:00,NSE,2494.8,2490.6,2490.6,GRASIM,1077
2493.75,2024-06-21 09:23:00,NSE,2495.0,2488.55,2494.0,GRASIM,2131
2492.0,2024-06-21 09:24:00,NSE,2493.75,2489.35,2493.75,GRASIM,2411
2501.45,2024-06-21 09:25:00,NSE,2501.45,2492.0,2492.0,GRASIM,4430
2503.2,2024-06-21 09:26:00,NSE,2503.2,2497.85,2501.9,GRASIM,3145
2504.9,2024-06-21 09:27:00,NSE,2505.7,2500.05,2503.6,GRASIM,4592
2503.0,2024-06-21 09:28:00,NSE,2506.0,2501.2,2505.55,GRASIM,12333
2507.5,2024-06-21 09:29:00,NSE,2507.5,2501.6,2503.0,GRASIM,2414
2503.7,2024-06-21 09:30:00,NSE,2507.5,2503.0,2507.5,GRASIM,2488
2503.4,2024-06-21 09:31:00,NSE,2506.0,2501.0,2502.95,GRASIM,2979
2497.45,2024-06-21 09:32:00,NSE,2503.9,2497.1,2503.4,GRASIM,1482
2494.8,2024-06-21 09:33:00,NSE,2497.1,2493.05,2497.1,GRASIM,1726
2498.0,2024-06-21 09:34:00,NSE,2498.0,2494.05,2494.8,GRASIM,1376
2491.45,2024-06-21 09:35:00,NSE,2495.9,2490.0,2495.15,GRASIM,4921
2490.75,2024-06-21 09:36:00,NSE,2492.8,2490.5,2490.5,GRASIM,1154
2494.15,2024-06-21 09:37:00,NSE,2494.65,2492.0,2492.0,GRASIM,1177
2492.55,2024-06-21 09:38:00,NSE,2495.5,2492.55,2495.5,GRASIM,802
2494.55,2024-06-21 09:39:00,NSE,2495.25,2492.3,2495.25,GRASIM,1196
2493.35,2024-06-21 09:40:00,NSE,2494.55,2491.3,2494.55,GRASIM,387
2493.8,2024-06-21 09:41:00,NSE,2493.8,2491.55,2493.2,GRASIM,379
2493.35,2024-06-21 09:42:00,NSE,2494.45,2492.35,2494.45,GRASIM,158
2490.95,2024-06-21 09:43:00,NSE,2493.35,2488.1,2493.35,GRASIM,2171
2489.0,2024-06-21 09:44:00,NSE,2490.7,2489.0,2489.05,GRASIM,307
2489.0,2024-06-21 09:45:00,NSE,2489.95,2489.0,2489.95,GRASIM,108
