datetime,open,high,low,close,only_date
2020-12-17 09:07:00,13713.55,13713.55,13713.55,13713.55,2020-12-17
2020-12-17 09:15:00,13697.3,13706.4,13673.55,13680.1,2020-12-17
2020-12-17 09:16:00,13678.65,13690.4,13678.65,13690.25,2020-12-17
2020-12-17 09:17:00,13689.95,13695.95,13688.95,13691.9,2020-12-17
2020-12-17 09:18:00,13692.8,13700.05,13692.1,13699.3,2020-12-17
2020-12-17 09:19:00,13698.35,13700.0,13694.65,13696.2,2020-12-17
2020-12-17 09:20:00,13693.25,13705.05,13693.25,13704.7,2020-12-17
2020-12-17 09:21:00,13702.65,13705.6,13699.75,13700.75,2020-12-17
2020-12-17 09:22:00,13702.4,13703.45,13697.1,13700.25,2020-12-17
2020-12-17 09:23:00,13700.75,13702.75,13698.15,13699.5,2020-12-17
2020-12-17 09:24:00,13700.35,13701.85,13694.9,13698.65,2020-12-17
2020-12-17 09:25:00,13698.85,13699.65,13692.55,13695.35,2020-12-17
2020-12-17 09:26:00,13695.3,13695.75,13692.0,13692.85,2020-12-17
2020-12-17 09:27:00,13692.75,13693.6,13688.9,13689.65,2020-12-17
2020-12-17 09:28:00,13688.95,13693.1,13688.95,13691.3,2020-12-17
2020-12-17 09:29:00,13692.55,13696.0,13690.8,13694.8,2020-12-17
2020-12-17 09:30:00,13695.15,13698.65,13693.25,13697.2,2020-12-17
2020-12-17 09:31:00,13695.95,13697.4,13692.85,13696.7,2020-12-17
2020-12-17 09:32:00,13695.65,13696.9,13691.8,13696.3,2020-12-17
2020-12-17 09:33:00,13695.6,13696.7,13690.25,13695.3,2020-12-17
2020-12-17 09:34:00,13694.8,13699.15,13694.8,13698.75,2020-12-17
2020-12-17 09:35:00,13699.5,13699.5,13695.65,13698.05,2020-12-17
2020-12-17 09:36:00,13698.3,13700.9,13697.05,13699.45,2020-12-17
2020-12-17 09:37:00,13698.95,13701.2,13698.2,13701.0,2020-12-17
2020-12-17 09:38:00,13701.55,13707.3,13701.0,13707.3,2020-12-17
2020-12-17 09:39:00,13706.5,13706.85,13703.65,13705.0,2020-12-17
2020-12-17 09:40:00,13705.4,13705.4,13699.5,13700.85,2020-12-17
2020-12-17 09:41:00,13700.8,13707.15,13699.1,13706.3,2020-12-17
2020-12-17 09:42:00,13707.25,13709.1,13705.5,13705.85,2020-12-17
2020-12-17 09:43:00,13706.05,13708.45,13705.35,13707.6,2020-12-17
2020-12-17 09:44:00,13707.2,13709.3,13706.7,13708.8,2020-12-17
2020-12-17 09:45:00,13708.65,13709.95,13706.7,13709.05,2020-12-17
2020-12-17 09:46:00,13709.35,13714.45,13709.35,13712.4,2020-12-17
2020-12-17 09:47:00,13714.65,13718.45,13711.3,13717.75,2020-12-17
2020-12-17 09:48:00,13717.6,13717.6,13712.9,13713.6,2020-12-17
2020-12-17 09:49:00,13714.1,13717.35,13706.55,13708.1,2020-12-17
2020-12-17 09:50:00,13708.25,13711.55,13704.8,13710.7,2020-12-17
2020-12-17 09:51:00,13710.2,13712.4,13708.8,13711.6,2020-12-17
2020-12-17 09:52:00,13711.8,13712.2,13708.35,13710.2,2020-12-17
2020-12-17 09:53:00,13709.95,13716.85,13708.65,13716.55,2020-12-17
2020-12-17 09:54:00,13716.4,13717.6,13714.6,13715.85,2020-12-17
2020-12-17 09:55:00,13716.05,13717.6,13714.55,13717.1,2020-12-17
2020-12-17 09:56:00,13717.5,13719.05,13716.5,13717.85,2020-12-17
2020-12-17 09:57:00,13717.75,13720.75,13717.2,13718.95,2020-12-17
2020-12-17 09:58:00,13718.7,13720.8,13717.6,13717.6,2020-12-17
2020-12-17 09:59:00,13716.75,13717.4,13712.75,13715.95,2020-12-17
2020-12-17 10:00:00,13715.55,13716.45,13714.2,13716.15,2020-12-17
2020-12-17 10:01:00,13715.65,13722.55,13715.65,13720.65,2020-12-17
2020-12-17 10:02:00,13720.8,13723.6,13720.0,13721.45,2020-12-17
2020-12-17 10:03:00,13721.8,13723.85,13720.4,13720.4,2020-12-17
2020-12-17 10:04:00,13719.85,13720.25,13716.95,13716.95,2020-12-17
2020-12-17 10:05:00,13717.3,13718.3,13715.55,13716.0,2020-12-17
2020-12-17 10:06:00,13715.9,13721.7,13715.9,13720.3,2020-12-17
2020-12-17 10:07:00,13720.45,13724.4,13718.95,13720.1,2020-12-17
2020-12-17 10:08:00,13720.15,13721.25,13717.3,13718.85,2020-12-17
2020-12-17 10:09:00,13719.2,13720.4,13717.85,13720.1,2020-12-17
2020-12-17 10:10:00,13720.65,13722.5,13719.85,13721.7,2020-12-17
2020-12-17 10:11:00,13722.2,13724.35,13722.05,13724.35,2020-12-17
2020-12-17 10:12:00,13724.65,13724.75,13722.1,13722.8,2020-12-17
2020-12-17 10:13:00,13721.9,13721.9,13715.25,13716.4,2020-12-17
2020-12-17 10:14:00,13716.75,13717.45,13711.95,13712.4,2020-12-17
2020-12-17 10:15:00,13712.8,13712.8,13707.4,13707.4,2020-12-17
2020-12-17 10:16:00,13708.25,13709.85,13705.5,13705.9,2020-12-17
2020-12-17 10:17:00,13705.4,13711.1,13705.4,13709.4,2020-12-17
2020-12-17 10:18:00,13709.5,13710.95,13707.9,13709.7,2020-12-17
2020-12-17 10:19:00,13709.55,13710.5,13708.15,13708.2,2020-12-17
2020-12-17 10:20:00,13707.5,13711.35,13707.05,13710.45,2020-12-17
2020-12-17 10:21:00,13710.3,13714.7,13709.85,13714.55,2020-12-17
2020-12-17 10:22:00,13714.5,13715.35,13713.0,13713.95,2020-12-17
2020-12-17 10:23:00,13713.85,13714.15,13710.6,13711.75,2020-12-17
2020-12-17 10:24:00,13712.25,13714.45,13711.55,13713.4,2020-12-17
2020-12-17 10:25:00,13713.15,13722.85,13713.1,13716.2,2020-12-17
2020-12-17 10:26:00,13716.35,13717.35,13715.85,13716.9,2020-12-17
