,datetime,open,high,low,close,only_date
0,2019-04-10 09:07:00,11646.85,11646.85,11646.85,11646.85,2019-04-10
1,2019-04-10 09:15:00,11642.05,11654.75,11638.65,11654.75,2019-04-10
2,2019-04-10 09:16:00,11653.55,11656.65,11651.05,11654.75,2019-04-10
3,2019-04-10 09:17:00,11655.15,11655.15,11649.7,11650.25,2019-04-10
4,2019-04-10 09:18:00,11649.7,11649.7,11646.3,11647.75,2019-04-10
5,2019-04-10 09:19:00,11647.0,11657.2,11646.35,11656.45,2019-04-10
6,2019-04-10 09:20:00,11655.85,11661.35,11652.65,11661.05,2019-04-10
7,2019-04-10 09:21:00,11661.4,11664.1,11654.35,11657.75,2019-04-10
8,2019-04-10 09:22:00,11657.9,11668.95,11657.9,11667.5,2019-04-10
9,2019-04-10 09:23:00,11666.75,11670.0,11665.45,11667.0,2019-04-10
10,2019-04-10 09:24:00,11666.7,11667.45,11660.6,11664.2,2019-04-10
11,2019-04-10 09:25:00,11664.5,11668.75,11664.5,11667.15,2019-04-10
12,2019-04-10 09:26:00,11667.95,11669.25,11658.0,11661.0,2019-04-10
13,2019-04-10 09:27:00,11661.65,11667.9,11661.65,11667.9,2019-04-10
14,2019-04-10 09:28:00,11669.0,11672.05,11668.9,11672.05,2019-04-10
15,2019-04-10 09:29:00,11671.35,11675.85,11671.35,11675.45,2019-04-10
16,2019-04-10 09:30:00,11675.2,11678.55,11672.95,11673.4,2019-04-10
17,2019-04-10 09:31:00,11673.45,11673.7,11671.05,11672.0,2019-04-10
18,2019-04-10 09:32:00,11672.2,11672.45,11667.35,11667.35,2019-04-10
19,2019-04-10 09:33:00,11667.15,11668.5,11662.4,11662.8,2019-04-10
20,2019-04-10 09:34:00,11663.2,11669.4,11661.85,11668.5,2019-04-10
21,2019-04-10 09:35:00,11668.4,11668.7,11664.8,11665.1,2019-04-10
22,2019-04-10 09:36:00,11665.45,11665.55,11659.35,11663.85,2019-04-10
23,2019-04-10 09:37:00,11664.05,11667.1,11663.1,11666.15,2019-04-10
24,2019-04-10 09:38:00,11666.05,11667.4,11663.8,11667.4,2019-04-10
25,2019-04-10 09:39:00,11667.7,11668.8,11664.75,11666.15,2019-04-10
26,2019-04-10 09:40:00,11666.0,11668.5,11665.1,11668.05,2019-04-10
27,2019-04-10 09:41:00,11667.95,11668.75,11667.0,11668.75,2019-04-10
28,2019-04-10 09:42:00,11669.15,11672.5,11669.15,11672.15,2019-04-10
29,2019-04-10 09:43:00,11671.85,11671.85,11669.0,11670.15,2019-04-10
30,2019-04-10 09:44:00,11670.25,11673.95,11669.7,11673.95,2019-04-10
31,2019-04-10 09:45:00,11674.15,11674.25,11670.3,11670.8,2019-04-10
32,2019-04-10 09:46:00,11671.25,11671.35,11667.45,11667.45,2019-04-10
33,2019-04-10 09:47:00,11667.9,11675.55,11665.9,11675.35,2019-04-10
34,2019-04-10 09:48:00,11675.7,11676.0,11669.9,11671.8,2019-04-10
35,2019-04-10 09:49:00,11672.1,11680.05,11671.75,11679.5,2019-04-10
36,2019-04-10 09:50:00,11679.3,11679.3,11675.9,11676.7,2019-04-10
37,2019-04-10 09:51:00,11676.65,11676.65,11673.95,11673.95,2019-04-10
38,2019-04-10 09:52:00,11674.0,11675.75,11673.95,11675.75,2019-04-10
39,2019-04-10 09:53:00,11675.95,11676.0,11671.45,11672.5,2019-04-10
40,2019-04-10 09:54:00,11672.1,11672.3,11667.35,11669.35,2019-04-10
41,2019-04-10 09:55:00,11669.0,11669.75,11665.6,11666.35,2019-04-10
42,2019-04-10 09:56:00,11665.45,11668.8,11664.6,11668.35,2019-04-10
43,2019-04-10 09:57:00,11668.25,11669.9,11667.9,11668.5,2019-04-10
44,2019-04-10 09:58:00,11668.25,11668.7,11667.55,11668.3,2019-04-10
45,2019-04-10 09:59:00,11668.25,11669.05,11665.95,11669.05,2019-04-10
46,2019-04-10 10:00:00,11668.9,11669.35,11665.8,11666.45,2019-04-10
47,2019-04-10 10:01:00,11665.65,11665.65,11662.7,11664.7,2019-04-10
48,2019-04-10 10:02:00,11665.05,11665.9,11663.85,11665.0,2019-04-10
49,2019-04-10 10:03:00,11665.15,11665.15,11663.0,11663.65,2019-04-10
50,2019-04-10 10:04:00,11663.85,11669.45,11663.85,11668.6,2019-04-10
51,2019-04-10 10:05:00,11668.35,11668.45,11665.25,11666.5,2019-04-10
52,2019-04-10 10:06:00,11666.9,11667.25,11665.7,11666.05,2019-04-10
53,2019-04-10 10:07:00,11666.65,11667.1,11665.35,11665.35,2019-04-10
54,2019-04-10 10:08:00,11665.15,11665.15,11663.5,11663.9,2019-04-10
55,2019-04-10 10:09:00,11663.65,11663.7,11658.6,11659.75,2019-04-10
56,2019-04-10 10:10:00,11660.0,11660.2,11657.5,11658.2,2019-04-10
57,2019-04-10 10:11:00,11658.0,11661.15,11657.75,11660.85,2019-04-10
58,2019-04-10 10:12:00,11661.1,11661.15,11659.65,11660.65,2019-04-10
59,2019-04-10 10:13:00,11660.8,11665.85,11660.8,11665.85,2019-04-10
60,2019-04-10 10:14:00,11665.2,11667.25,11664.8,11666.9,2019-04-10
61,2019-04-10 10:15:00,11667.1,11670.3,11666.9,11669.75,2019-04-10
62,2019-04-10 10:16:00,11669.9,11672.3,11669.45,11670.8,2019-04-10
63,2019-04-10 10:17:00,11670.85,11671.3,11668.35,11668.7,2019-04-10
64,2019-04-10 10:18:00,11669.5,11669.6,11666.95,11667.25,2019-04-10
65,2019-04-10 10:19:00,11667.15,11668.0,11666.1,11666.55,2019-04-10
66,2019-04-10 10:20:00,11667.05,11667.55,11666.6,11667.05,2019-04-10
67,2019-04-10 10:21:00,11667.2,11667.5,11665.9,11666.25,2019-04-10
68,2019-04-10 10:22:00,11666.75,11668.3,11665.3,11668.3,2019-04-10
69,2019-04-10 10:23:00,11668.35,11670.15,11667.0,11668.5,2019-04-10
70,2019-04-10 10:24:00,11668.55,11669.95,11668.1,11669.45,2019-04-10
71,2019-04-10 10:25:00,11669.8,11672.75,11669.8,11671.65,2019-04-10
72,2019-04-10 10:26:00,11672.1,11672.1,11670.25,11670.6,2019-04-10
73,2019-04-10 10:27:00,11670.55,11670.8,11666.9,11668.3,2019-04-10
74,2019-04-10 10:28:00,11668.4,11670.55,11668.1,11670.0,2019-04-10
75,2019-04-10 10:29:00,11669.95,11671.1,11669.35,11671.1,2019-04-10
76,2019-04-10 10:30:00,11671.3,11674.6,11671.25,11674.2,2019-04-10
77,2019-04-10 10:31:00,11674.35,11677.6,11674.35,11676.5,2019-04-10
78,2019-04-10 10:32:00,11676.7,11677.7,11675.4,11676.7,2019-04-10
79,2019-04-10 10:33:00,11676.6,11676.75,11674.35,11676.2,2019-04-10
80,2019-04-10 10:34:00,11676.4,11676.4,11673.65,11673.8,2019-04-10
81,2019-04-10 10:35:00,11674.25,11676.1,11672.95,11676.1,2019-04-10
82,2019-04-10 10:36:00,11675.9,11676.05,11672.3,11672.3,2019-04-10
83,2019-04-10 10:37:00,11672.55,11674.85,11672.0,11674.85,2019-04-10
84,2019-04-10 10:38:00,11675.4,11675.4,11671.0,11671.35,2019-04-10
85,2019-04-10 10:39:00,11671.45,11671.75,11668.8,11668.8,2019-04-10
86,2019-04-10 10:40:00,11668.9,11670.2,11667.55,11667.95,2019-04-10
87,2019-04-10 10:41:00,11668.4,11668.4,11666.3,11666.65,2019-04-10
88,2019-04-10 10:42:00,11667.5,11667.8,11663.85,11664.15,2019-04-10
89,2019-04-10 10:43:00,11664.0,11666.05,11663.7,11664.1,2019-04-10
90,2019-04-10 10:44:00,11664.45,11664.75,11661.8,11662.9,2019-04-10
91,2019-04-10 10:45:00,11662.75,11663.05,11659.5,11659.5,2019-04-10
92,2019-04-10 10:46:00,11659.8,11660.1,11654.55,11654.85,2019-04-10
93,2019-04-10 10:47:00,11655.25,11658.15,11655.15,11655.9,2019-04-10
94,2019-04-10 10:48:00,11655.8,11655.8,11653.4,11655.05,2019-04-10
95,2019-04-10 10:49:00,11654.5,11656.9,11654.5,11656.85,2019-04-10
96,2019-04-10 10:50:00,11656.45,11658.6,11655.85,11658.55,2019-04-10
97,2019-04-10 10:51:00,11658.6,11661.65,11657.75,11660.7,2019-04-10
98,2019-04-10 10:52:00,11660.55,11661.5,11658.6,11658.65,2019-04-10
99,2019-04-10 10:53:00,11658.0,11659.45,11657.85,11659.1,2019-04-10
100,2019-04-10 10:54:00,11659.3,11660.45,11658.65,11659.2,2019-04-10
101,2019-04-10 10:55:00,11659.15,11659.65,11658.35,11658.65,2019-04-10
102,2019-04-10 10:56:00,11657.95,11663.05,11657.95,11662.9,2019-04-10
103,2019-04-10 10:57:00,11662.75,11663.2,11661.75,11662.9,2019-04-10
104,2019-04-10 10:58:00,11662.85,11664.4,11660.1,11663.4,2019-04-10
105,2019-04-10 10:59:00,11663.55,11663.95,11655.2,11659.1,2019-04-10
106,2019-04-10 11:00:00,11657.65,11657.75,11642.2,11646.05,2019-04-10
107,2019-04-10 11:01:00,11646.5,11647.45,11644.55,11645.1,2019-04-10
108,2019-04-10 11:02:00,11645.35,11649.95,11644.4,11649.05,2019-04-10
109,2019-04-10 11:03:00,11650.05,11650.05,11645.4,11646.65,2019-04-10
110,2019-04-10 11:04:00,11646.2,11648.65,11645.55,11646.75,2019-04-10
111,2019-04-10 11:05:00,11646.9,11646.9,11643.4,11643.8,2019-04-10
112,2019-04-10 11:06:00,11643.9,11645.3,11642.65,11643.2,2019-04-10
113,2019-04-10 11:07:00,11643.5,11647.65,11643.25,11647.6,2019-04-10
114,2019-04-10 11:08:00,11647.75,11648.75,11647.45,11648.6,2019-04-10
115,2019-04-10 11:09:00,11648.5,11649.4,11644.7,11646.4,2019-04-10
116,2019-04-10 11:10:00,11646.5,11649.0,11646.05,11648.15,2019-04-10
117,2019-04-10 11:11:00,11648.0,11651.6,11647.45,11650.85,2019-04-10
118,2019-04-10 11:12:00,11651.25,11652.05,11650.05,11650.5,2019-04-10
119,2019-04-10 11:13:00,11651.1,11653.15,11650.5,11651.8,2019-04-10
120,2019-04-10 11:14:00,11651.6,11651.6,11649.1,11650.55,2019-04-10
121,2019-04-10 11:15:00,11650.45,11655.0,11649.85,11655.0,2019-04-10
122,2019-04-10 11:16:00,11655.2,11658.35,11655.2,11656.85,2019-04-10
123,2019-04-10 11:17:00,11656.5,11659.25,11656.05,11658.85,2019-04-10
124,2019-04-10 11:18:00,11658.65,11658.65,11654.7,11655.9,2019-04-10
125,2019-04-10 11:19:00,11655.75,11656.9,11654.5,11656.65,2019-04-10
126,2019-04-10 11:20:00,11656.35,11659.0,11656.35,11658.1,2019-04-10
127,2019-04-10 11:21:00,11658.15,11658.15,11654.4,11654.4,2019-04-10
128,2019-04-10 11:22:00,11654.65,11654.65,11652.0,11652.25,2019-04-10
129,2019-04-10 11:23:00,11652.65,11653.35,11651.75,11652.2,2019-04-10
130,2019-04-10 11:24:00,11652.35,11652.5,11649.85,11650.0,2019-04-10
131,2019-04-10 11:25:00,11650.5,11651.3,11649.6,11649.9,2019-04-10
132,2019-04-10 11:26:00,11649.8,11652.65,11649.15,11652.3,2019-04-10
133,2019-04-10 11:27:00,11652.65,11653.6,11651.55,11652.3,2019-04-10
134,2019-04-10 11:28:00,11652.8,11654.35,11651.85,11653.6,2019-04-10
135,2019-04-10 11:29:00,11653.55,11654.55,11652.15,11653.45,2019-04-10
136,2019-04-10 11:30:00,11653.85,11654.1,11651.85,11652.85,2019-04-10
137,2019-04-10 11:31:00,11652.7,11656.0,11652.55,11655.25,2019-04-10
138,2019-04-10 11:32:00,11655.5,11655.8,11654.25,11655.6,2019-04-10
139,2019-04-10 11:33:00,11656.2,11658.45,11655.6,11657.55,2019-04-10
140,2019-04-10 11:34:00,11657.75,11658.2,11656.35,11656.55,2019-04-10
141,2019-04-10 11:35:00,11657.05,11658.4,11655.6,11658.1,2019-04-10
142,2019-04-10 11:36:00,11657.8,11658.35,11656.8,11656.8,2019-04-10
143,2019-04-10 11:37:00,11657.15,11657.15,11653.95,11655.5,2019-04-10
144,2019-04-10 11:38:00,11655.3,11655.9,11644.7,11645.7,2019-04-10
145,2019-04-10 11:39:00,11645.65,11645.7,11640.5,11644.45,2019-04-10
146,2019-04-10 11:40:00,11643.75,11645.45,11640.8,11642.25,2019-04-10
147,2019-04-10 11:41:00,11642.8,11646.1,11642.8,11646.1,2019-04-10
148,2019-04-10 11:42:00,11646.2,11646.65,11644.3,11645.75,2019-04-10
149,2019-04-10 11:43:00,11645.9,11648.75,11645.75,11647.65,2019-04-10
150,2019-04-10 11:44:00,11647.75,11648.9,11647.1,11648.9,2019-04-10
151,2019-04-10 11:45:00,11649.4,11650.45,11649.2,11650.15,2019-04-10
152,2019-04-10 11:46:00,11650.55,11654.15,11650.4,11653.0,2019-04-10
153,2019-04-10 11:47:00,11653.05,11654.35,11651.55,11653.95,2019-04-10
154,2019-04-10 11:48:00,11654.45,11656.35,11653.85,11655.15,2019-04-10
155,2019-04-10 11:49:00,11655.1,11655.15,11653.05,11655.0,2019-04-10
156,2019-04-10 11:50:00,11655.65,11658.05,11654.85,11657.1,2019-04-10
157,2019-04-10 11:51:00,11656.5,11657.65,11655.85,11657.25,2019-04-10
158,2019-04-10 11:52:00,11657.9,11658.3,11655.75,11655.85,2019-04-10
