,close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
0,2.2,2023-06-28 09:15:00,NFO,06-JUL-2023,2.2,1.7,1.95,16200,Options,Call,NIFTY,19750.0,1500
1,2.2,2023-06-28 09:16:00,NFO,06-JUL-2023,2.2,2.15,2.2,16200,Options,Call,NIFTY,19750.0,550
2,2.2,2023-06-28 09:17:00,NFO,06-JUL-2023,2.2,2.2,2.2,16200,Options,Call,NIFTY,19750.0,500
3,2.1,2023-06-28 09:18:00,NFO,06-JUL-2023,2.2,2.1,2.2,16450,Options,Call,NIFTY,19750.0,100
4,2.1,2023-06-28 09:19:00,NFO,06-JUL-2023,2.15,2.1,2.1,16450,Options,Call,NIFTY,19750.0,150
5,2.15,2023-06-28 09:20:00,NFO,06-JUL-2023,2.15,2.1,2.1,16550,Options,Call,NIFTY,19750.0,200
6,2.15,2023-06-28 09:21:00,NFO,06-JUL-2023,2.15,2.15,2.15,16550,Options,Call,NIFTY,19750.0,0
7,2.15,2023-06-28 09:22:00,NFO,06-JUL-2023,2.15,2.15,2.15,16550,Options,Call,NIFTY,19750.0,0
8,2.15,2023-06-28 09:23:00,NFO,06-JUL-2023,2.15,2.15,2.15,16550,Options,Call,NIFTY,19750.0,0
9,2.2,2023-06-28 09:24:00,NFO,06-JUL-2023,2.2,2.15,2.15,16550,Options,Call,NIFTY,19750.0,50
10,2.2,2023-06-28 09:25:00,NFO,06-JUL-2023,2.2,2.2,2.2,16550,Options,Call,NIFTY,19750.0,0
11,2.2,2023-06-28 09:26:00,NFO,06-JUL-2023,2.2,2.2,2.2,16550,Options,Call,NIFTY,19750.0,0
12,2.2,2023-06-28 09:27:00,NFO,06-JUL-2023,2.2,2.2,2.2,16550,Options,Call,NIFTY,19750.0,0
13,2.2,2023-06-28 09:28:00,NFO,06-JUL-2023,2.2,2.2,2.2,16550,Options,Call,NIFTY,19750.0,0
14,2.2,2023-06-28 09:29:00,NFO,06-JUL-2023,2.2,2.2,2.2,16550,Options,Call,NIFTY,19750.0,0
15,2.4,2023-06-28 09:30:00,NFO,06-JUL-2023,2.4,2.35,2.35,16450,Options,Call,NIFTY,19750.0,550
16,2.6,2023-06-28 09:31:00,NFO,06-JUL-2023,2.6,2.4,2.4,16450,Options,Call,NIFTY,19750.0,100
17,2.6,2023-06-28 09:32:00,NFO,06-JUL-2023,2.65,2.6,2.65,16450,Options,Call,NIFTY,19750.0,200
18,2.4,2023-06-28 09:33:00,NFO,06-JUL-2023,2.6,2.4,2.6,17050,Options,Call,NIFTY,19750.0,150
19,2.25,2023-06-28 09:34:00,NFO,06-JUL-2023,2.4,2.25,2.4,17050,Options,Call,NIFTY,19750.0,250
