,close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
0,34.4,2023-07-26 09:15:00,NFO,03-AUG-2023,38.75,33.15,38.75,249500,Options,Put,NIFTY,19450.0,10850
1,33.85,2023-07-26 09:16:00,NFO,03-AUG-2023,34.55,33.15,33.8,249500,Options,Put,NIFTY,19450.0,12950
2,34.1,2023-07-26 09:17:00,NFO,03-AUG-2023,34.4,33.25,34.0,245200,Options,Put,NIFTY,19450.0,14200
3,33.75,2023-07-26 09:18:00,NFO,03-AUG-2023,34.4,33.6,34.4,245200,Options,Put,NIFTY,19450.0,10150
4,33.3,2023-07-26 09:19:00,NFO,03-AUG-2023,34.0,33.3,33.75,245200,Options,Put,NIFTY,19450.0,3500
5,32.75,2023-07-26 09:20:00,NFO,03-AUG-2023,33.4,32.3,33.4,249950,Options,Put,NIFTY,19450.0,3400
6,32.95,2023-07-26 09:21:00,NFO,03-AUG-2023,33.15,32.5,32.5,249950,Options,Put,NIFTY,19450.0,2750
7,31.5,2023-07-26 09:22:00,NFO,03-AUG-2023,33.35,31.5,32.95,249950,Options,Put,NIFTY,19450.0,10250
8,30.0,2023-07-26 09:23:00,NFO,03-AUG-2023,31.4,30.0,31.3,255850,Options,Put,NIFTY,19450.0,10800
9,29.0,2023-07-26 09:24:00,NFO,03-AUG-2023,30.25,28.9,30.0,255850,Options,Put,NIFTY,19450.0,7800
10,28.65,2023-07-26 09:25:00,NFO,03-AUG-2023,29.25,28.6,28.75,255850,Options,Put,NIFTY,19450.0,7050
11,28.5,2023-07-26 09:26:00,NFO,03-AUG-2023,28.65,28.2,28.45,263100,Options,Put,NIFTY,19450.0,19850
12,27.75,2023-07-26 09:27:00,NFO,03-AUG-2023,28.55,27.65,28.4,263100,Options,Put,NIFTY,19450.0,8850
13,28.5,2023-07-26 09:28:00,NFO,03-AUG-2023,28.5,27.35,27.6,263100,Options,Put,NIFTY,19450.0,8900
14,28.4,2023-07-26 09:29:00,NFO,03-AUG-2023,28.85,28.25,28.5,268150,Options,Put,NIFTY,19450.0,20450
15,28.3,2023-07-26 09:30:00,NFO,03-AUG-2023,28.6,28.05,28.4,268150,Options,Put,NIFTY,19450.0,11150
16,28.5,2023-07-26 09:31:00,NFO,03-AUG-2023,28.7,28.2,28.35,268150,Options,Put,NIFTY,19450.0,7550
17,28.15,2023-07-26 09:32:00,NFO,03-AUG-2023,28.75,28.1,28.55,278950,Options,Put,NIFTY,19450.0,16050
18,28.5,2023-07-26 09:33:00,NFO,03-AUG-2023,28.5,28.0,28.2,278950,Options,Put,NIFTY,19450.0,3200
19,28.75,2023-07-26 09:34:00,NFO,03-AUG-2023,28.8,28.3,28.5,278950,Options,Put,NIFTY,19450.0,7750
20,28.55,2023-07-26 09:35:00,NFO,03-AUG-2023,28.75,28.3,28.75,284450,Options,Put,NIFTY,19450.0,5050
21,28.7,2023-07-26 09:36:00,NFO,03-AUG-2023,28.9,28.3,28.55,284450,Options,Put,NIFTY,19450.0,10350
22,28.75,2023-07-26 09:37:00,NFO,03-AUG-2023,29.15,28.65,28.7,284450,Options,Put,NIFTY,19450.0,6400
