,close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
0,120.7,2023-07-26 09:15:00,NFO,10-AUG-2023,120.7,100.0,120.0,24150,Options,Put,NIFTY,19650.0,800
1,118.4,2023-07-26 09:16:00,NFO,10-AUG-2023,120.7,118.0,120.7,24150,Options,Put,NIFTY,19650.0,1150
2,118.3,2023-07-26 09:17:00,NFO,10-AUG-2023,118.4,118.3,118.4,24150,Options,Put,NIFTY,19650.0,200
3,117.05,2023-07-26 09:18:00,NFO,10-AUG-2023,118.3,117.05,118.3,24350,Options,Put,NIFTY,19650.0,650
4,117.0,2023-07-26 09:19:00,NFO,10-AUG-2023,117.05,117.0,117.05,24350,Options,Put,NIFTY,19650.0,50
5,116.15,2023-07-26 09:20:00,NFO,10-AUG-2023,117.35,115.65,117.0,24350,Options,Put,NIFTY,19650.0,300
6,116.15,2023-07-26 09:21:00,NFO,10-AUG-2023,116.15,116.15,116.15,24350,Options,Put,NIFTY,19650.0,0
7,114.2,2023-07-26 09:22:00,NFO,10-AUG-2023,117.3,114.2,116.15,24350,Options,Put,NIFTY,19650.0,150
8,110.75,2023-07-26 09:23:00,NFO,10-AUG-2023,114.2,110.75,114.2,24800,Options,Put,NIFTY,19650.0,250
9,106.5,2023-07-26 09:24:00,NFO,10-AUG-2023,110.75,106.5,110.75,24800,Options,Put,NIFTY,19650.0,50
10,106.65,2023-07-26 09:25:00,NFO,10-AUG-2023,107.0,106.5,106.5,24800,Options,Put,NIFTY,19650.0,650
11,105.4,2023-07-26 09:26:00,NFO,10-AUG-2023,106.65,104.5,106.65,24800,Options,Put,NIFTY,19650.0,300
12,105.0,2023-07-26 09:27:00,NFO,10-AUG-2023,105.5,105.0,105.3,25300,Options,Put,NIFTY,19650.0,300
13,103.4,2023-07-26 09:28:00,NFO,10-AUG-2023,105.0,102.9,105.0,25300,Options,Put,NIFTY,19650.0,750
14,105.0,2023-07-26 09:29:00,NFO,10-AUG-2023,105.0,103.4,103.4,25150,Options,Put,NIFTY,19650.0,450
15,104.35,2023-07-26 09:30:00,NFO,10-AUG-2023,105.0,104.35,105.0,25150,Options,Put,NIFTY,19650.0,1200
16,104.4,2023-07-26 09:31:00,NFO,10-AUG-2023,104.4,104.35,104.35,25150,Options,Put,NIFTY,19650.0,550
17,103.9,2023-07-26 09:32:00,NFO,10-AUG-2023,105.0,103.9,104.4,24550,Options,Put,NIFTY,19650.0,550
18,104.1,2023-07-26 09:33:00,NFO,10-AUG-2023,104.1,103.9,103.9,24550,Options,Put,NIFTY,19650.0,100
19,105.95,2023-07-26 09:34:00,NFO,10-AUG-2023,105.95,104.1,104.1,24550,Options,Put,NIFTY,19650.0,200
20,105.4,2023-07-26 09:35:00,NFO,10-AUG-2023,105.95,105.2,105.95,24850,Options,Put,NIFTY,19650.0,150
21,105.4,2023-07-26 09:36:00,NFO,10-AUG-2023,105.4,105.4,105.4,24850,Options,Put,NIFTY,19650.0,0
22,105.4,2023-07-26 09:37:00,NFO,10-AUG-2023,105.4,105.4,105.4,24850,Options,Put,NIFTY,19650.0,0
23,105.0,2023-07-26 09:38:00,NFO,10-AUG-2023,105.0,105.0,105.0,24850,Options,Put,NIFTY,19650.0,400
24,104.95,2023-07-26 09:39:00,NFO,10-AUG-2023,105.25,104.95,105.0,24850,Options,Put,NIFTY,19650.0,100
25,106.15,2023-07-26 09:40:00,NFO,10-AUG-2023,106.15,104.95,104.95,24850,Options,Put,NIFTY,19650.0,50
26,106.5,2023-07-26 09:41:00,NFO,10-AUG-2023,106.55,106.15,106.15,24850,Options,Put,NIFTY,19650.0,150
27,106.5,2023-07-26 09:42:00,NFO,10-AUG-2023,106.5,106.5,106.5,24850,Options,Put,NIFTY,19650.0,0
28,107.1,2023-07-26 09:43:00,NFO,10-AUG-2023,107.95,106.5,106.5,24850,Options,Put,NIFTY,19650.0,2050
29,104.2,2023-07-26 09:44:00,NFO,10-AUG-2023,107.1,104.2,107.1,24500,Options,Put,NIFTY,19650.0,250
30,103.35,2023-07-26 09:45:00,NFO,10-AUG-2023,104.2,103.1,104.2,24500,Options,Put,NIFTY,19650.0,250
31,104.0,2023-07-26 09:46:00,NFO,10-AUG-2023,104.0,103.35,103.35,24500,Options,Put,NIFTY,19650.0,100
32,104.0,2023-07-26 09:47:00,NFO,10-AUG-2023,104.0,104.0,104.0,24500,Options,Put,NIFTY,19650.0,0
33,102.7,2023-07-26 09:48:00,NFO,10-AUG-2023,104.0,102.0,104.0,24200,Options,Put,NIFTY,19650.0,850
34,102.6,2023-07-26 09:49:00,NFO,10-AUG-2023,102.6,102.3,102.6,24200,Options,Put,NIFTY,19650.0,1200
35,103.5,2023-07-26 09:50:00,NFO,10-AUG-2023,103.5,102.6,102.6,24200,Options,Put,NIFTY,19650.0,100
36,102.5,2023-07-26 09:51:00,NFO,10-AUG-2023,103.5,102.5,103.5,25300,Options,Put,NIFTY,19650.0,1550
37,101.75,2023-07-26 09:52:00,NFO,10-AUG-2023,102.5,101.75,102.5,25300,Options,Put,NIFTY,19650.0,150
38,101.05,2023-07-26 09:53:00,NFO,10-AUG-2023,101.75,100.95,101.75,25450,Options,Put,NIFTY,19650.0,350
39,98.25,2023-07-26 09:54:00,NFO,10-AUG-2023,100.7,98.25,100.7,25450,Options,Put,NIFTY,19650.0,3500
40,98.05,2023-07-26 09:55:00,NFO,10-AUG-2023,99.6,98.05,98.25,25450,Options,Put,NIFTY,19650.0,1050
41,96.9,2023-07-26 09:56:00,NFO,10-AUG-2023,98.2,96.9,98.05,26650,Options,Put,NIFTY,19650.0,1450
42,94.8,2023-07-26 09:57:00,NFO,10-AUG-2023,96.9,94.8,96.9,26650,Options,Put,NIFTY,19650.0,900
43,96.0,2023-07-26 09:58:00,NFO,10-AUG-2023,96.25,94.8,94.8,26650,Options,Put,NIFTY,19650.0,1500
44,96.65,2023-07-26 09:59:00,NFO,10-AUG-2023,96.65,96.0,96.0,26650,Options,Put,NIFTY,19650.0,50
45,96.25,2023-07-26 10:00:00,NFO,10-AUG-2023,96.65,96.25,96.65,26350,Options,Put,NIFTY,19650.0,500
46,97.2,2023-07-26 10:01:00,NFO,10-AUG-2023,97.35,97.2,97.35,26350,Options,Put,NIFTY,19650.0,500
47,97.15,2023-07-26 10:02:00,NFO,10-AUG-2023,97.2,97.15,97.2,26500,Options,Put,NIFTY,19650.0,100
48,97.25,2023-07-26 10:03:00,NFO,10-AUG-2023,97.25,97.15,97.15,26500,Options,Put,NIFTY,19650.0,650
49,96.3,2023-07-26 10:04:00,NFO,10-AUG-2023,97.25,96.3,97.25,26500,Options,Put,NIFTY,19650.0,450
50,96.3,2023-07-26 10:05:00,NFO,10-AUG-2023,96.3,96.3,96.3,26500,Options,Put,NIFTY,19650.0,0
51,91.0,2023-07-26 10:06:00,NFO,10-AUG-2023,96.3,91.0,96.3,26350,Options,Put,NIFTY,19650.0,400
52,90.3,2023-07-26 10:07:00,NFO,10-AUG-2023,91.8,90.3,91.1,26350,Options,Put,NIFTY,19650.0,2700
53,91.8,2023-07-26 10:08:00,NFO,10-AUG-2023,91.85,90.8,90.8,26350,Options,Put,NIFTY,19650.0,900
