,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2020-11-12 09:30:00,2372.5,NSE,2372.95,2362.0,2362.0,JUBFOO,12154
1,2020-11-12 09:30:00,692.5,NSE,692.75,690.45,692.15,JUBFOO,931
2,2020-11-12 09:31:00,2375.4,NSE,2377.0,2371.3,2371.3,JUBFOO,4881
3,2020-11-12 09:31:00,691.55,NSE,692.45,691.5,692.3,JUBFOO,38
4,2020-11-12 09:32:00,2384.1,NSE,2386.0,2376.0,2376.0,JUBFOO,10800
5,2020-11-12 09:32:00,693.1,NSE,693.1,691.55,691.55,JUBFOO,857
6,2020-11-12 09:33:00,2383.3,NSE,2387.5,2382.15,2385.85,JUBFOO,8790
7,2020-11-12 09:33:00,693.15,NSE,693.45,692.25,692.9,JUBFOO,326
8,2020-11-12 09:34:00,2391.55,NSE,2392.0,2382.0,2384.85,JUBFOO,14425
9,2020-11-12 09:34:00,691.7,NSE,692.0,691.55,692.0,JUBFOO,655
10,2020-11-12 09:35:00,2393.9,NSE,2393.9,2388.45,2391.0,JUBFOO,18228
11,2020-11-12 09:35:00,692.75,NSE,692.75,691.0,691.0,JUBFOO,462
12,2020-11-12 09:36:00,2405.6,NSE,2405.6,2393.4,2393.95,JUBFOO,43775
13,2020-11-12 09:36:00,691.2,NSE,692.95,690.3,692.05,JUBFOO,970
14,2020-11-12 09:37:00,2393.5,NSE,2406.0,2390.45,2403.5,JUBFOO,28703
15,2020-11-12 09:37:00,692.85,NSE,692.85,691.0,691.05,JUBFOO,450
16,2020-11-12 09:38:00,2393.8,NSE,2394.65,2387.25,2393.6,JUBFOO,18176
17,2020-11-12 09:38:00,694.0,NSE,694.0,692.85,692.85,JUBFOO,202
18,2020-11-12 09:39:00,2392.7,NSE,2397.3,2391.0,2391.75,JUBFOO,11496
19,2020-11-12 09:39:00,693.0,NSE,694.0,693.0,693.2,JUBFOO,826
20,2020-11-12 09:40:00,2387.8,NSE,2394.35,2383.75,2394.35,JUBFOO,13543
21,2020-11-12 09:40:00,692.6,NSE,693.0,691.95,693.0,JUBFOO,309
22,2020-11-12 09:41:00,2396.25,NSE,2397.8,2387.45,2387.85,JUBFOO,13016
23,2020-11-12 09:41:00,691.95,NSE,692.6,691.95,692.6,JUBFOO,238
24,2020-11-12 09:42:00,2396.05,NSE,2398.95,2392.2,2396.0,JUBFOO,7333
25,2020-11-12 09:42:00,694.0,NSE,694.0,691.7,691.7,JUBFOO,2251
26,2020-11-12 09:43:00,2395.0,NSE,2398.95,2395.0,2396.05,JUBFOO,7249
27,2020-11-12 09:44:00,2389.75,NSE,2395.0,2388.7,2395.0,JUBFOO,6089
28,2020-11-12 09:44:00,693.3,NSE,693.8,693.3,693.8,JUBFOO,37
29,2020-11-12 09:45:00,2396.45,NSE,2397.95,2389.8,2390.25,JUBFOO,5448
30,2020-11-12 09:45:00,693.7,NSE,693.7,692.85,692.85,JUBFOO,75
31,2020-11-12 09:46:00,2396.8,NSE,2398.65,2392.45,2395.5,JUBFOO,5538
32,2020-11-12 09:46:00,693.95,NSE,694.6,693.55,693.55,JUBFOO,844
33,2020-11-12 09:47:00,2396.2,NSE,2396.95,2392.55,2396.9,JUBFOO,4256
34,2020-11-12 09:47:00,694.45,NSE,695.4,693.45,694.5,JUBFOO,3383
35,2020-11-12 09:48:00,2397.55,NSE,2400.05,2393.3,2394.6,JUBFOO,12871
36,2020-11-12 09:48:00,694.9,NSE,694.9,694.9,694.9,JUBFOO,850
37,2020-11-12 09:49:00,2398.2,NSE,2399.9,2395.2,2398.35,JUBFOO,7337
38,2020-11-12 09:49:00,693.7,NSE,695.7,692.7,695.7,JUBFOO,1770
39,2020-11-12 09:50:00,2397.2,NSE,2398.95,2395.05,2397.0,JUBFOO,3554
40,2020-11-12 09:50:00,695.3,NSE,695.3,694.5,694.5,JUBFOO,61
41,2020-11-12 09:51:00,2393.4,NSE,2398.55,2393.4,2398.55,JUBFOO,7070
42,2020-11-12 09:51:00,693.5,NSE,695.15,693.5,695.15,JUBFOO,438
43,2020-11-12 09:52:00,2403.3,NSE,2404.9,2393.3,2394.55,JUBFOO,22700
44,2020-11-12 09:52:00,693.65,NSE,693.65,693.65,693.65,JUBFOO,38
45,2020-11-12 09:53:00,2403.0,NSE,2404.4,2400.7,2402.6,JUBFOO,10024
46,2020-11-12 09:53:00,694.25,NSE,694.25,694.25,694.25,JUBFOO,23
47,2020-11-12 09:54:00,2397.0,NSE,2404.95,2394.0,2403.0,JUBFOO,9849
48,2020-11-12 09:54:00,694.4,NSE,694.45,694.25,694.25,JUBFOO,55
49,2020-11-12 09:55:00,2401.55,NSE,2402.5,2396.1,2397.65,JUBFOO,6820
50,2020-11-12 09:55:00,694.0,NSE,694.45,694.0,694.45,JUBFOO,74
51,2020-11-12 09:56:00,2400.0,NSE,2403.0,2398.2,2401.6,JUBFOO,4025
52,2020-11-12 09:56:00,694.0,NSE,694.0,694.0,694.0,JUBFOO,11
53,2020-11-12 09:57:00,2402.65,NSE,2403.5,2399.15,2399.15,JUBFOO,8524
54,2020-11-12 09:57:00,694.8,NSE,694.8,694.5,694.5,JUBFOO,103
55,2020-11-12 09:58:00,2409.0,NSE,2409.7,2402.6,2402.6,JUBFOO,24072
56,2020-11-12 09:58:00,694.9,NSE,695.1,694.1,695.05,JUBFOO,163
57,2020-11-12 09:59:00,2408.55,NSE,2410.0,2405.55,2409.0,JUBFOO,15029
58,2020-11-12 09:59:00,695.65,NSE,695.65,694.05,694.05,JUBFOO,284
59,2020-11-12 10:00:00,2413.6,NSE,2415.0,2408.0,2408.7,JUBFOO,27267
60,2020-11-12 10:00:00,694.65,NSE,695.3,694.25,695.3,JUBFOO,932
61,2020-11-12 10:01:00,2408.6,NSE,2413.35,2407.05,2412.15,JUBFOO,12087
62,2020-11-12 10:01:00,695.15,NSE,695.25,694.0,695.25,JUBFOO,564
63,2020-11-12 10:02:00,2408.55,NSE,2409.95,2403.9,2408.4,JUBFOO,9572
64,2020-11-12 10:02:00,696.0,NSE,696.0,694.6,695.2,JUBFOO,311
65,2020-11-12 10:03:00,2409.0,NSE,2410.5,2407.0,2409.9,JUBFOO,10050
66,2020-11-12 10:03:00,695.8,NSE,695.9,694.85,695.9,JUBFOO,213
67,2020-11-12 10:04:00,2407.15,NSE,2410.65,2405.5,2408.5,JUBFOO,13175
68,2020-11-12 10:04:00,695.65,NSE,695.8,695.0,695.8,JUBFOO,222
69,2020-11-12 10:05:00,2413.7,NSE,2414.6,2407.2,2407.2,JUBFOO,10788
70,2020-11-12 10:05:00,695.35,NSE,695.35,695.0,695.0,JUBFOO,24
71,2020-11-12 10:06:00,2420.0,NSE,2423.9,2412.0,2413.7,JUBFOO,36284
72,2020-11-12 10:06:00,695.55,NSE,695.55,695.35,695.35,JUBFOO,94
73,2020-11-12 10:07:00,2424.0,NSE,2424.0,2418.85,2421.9,JUBFOO,17964
74,2020-11-12 10:07:00,696.0,NSE,696.65,695.05,695.6,JUBFOO,1419
75,2020-11-12 10:08:00,2421.0,NSE,2424.0,2415.95,2421.4,JUBFOO,26099
76,2020-11-12 10:08:00,696.7,NSE,696.7,695.85,696.4,JUBFOO,447
77,2020-11-12 10:09:00,2421.05,NSE,2424.7,2419.35,2421.35,JUBFOO,15337
78,2020-11-12 10:09:00,698.0,NSE,698.85,696.7,696.7,JUBFOO,5111
