,exchange_code,product_type,stock_code,expiry_date,right,strike_price,ltp,ltt,best_bid_price,best_bid_quantity,best_offer_price,best_offer_quantity,open,high,low,previous_close,ltp_percent_change,upper_circuit,lower_circuit,total_quantity_traded,spot_price,ltq,open_interest,chnge_oi,total_buy_qty,total_sell_qty,rel_50,price_per_lot
0,NFO,Options,NIFTY,2023-09-07,Put,19200.0,18.25,01-Sep-2023 15:29:59,18.15,100,18.3,150,56.0,59.2,18.0,21.2,-64.07,315.9,0.05,104191400,19435.3,100,4989100.0,424450.0,107950,851700,5.0,912.5
1,NFO,Options,NIFTY,2023-09-07,Put,19250.0,24.05,01-Sep-2023 15:29:59,24.0,3600,24.05,400,70.0,75.15,24.0,27.95,-62.1,358.4,0.05,90135500,19435.3,50,4253950.0,2715450.0,102750,759300,4.0,1202.5
2,NFO,Options,NIFTY,2023-09-07,Put,19300.0,32.7,01-Sep-2023 15:29:59,32.25,1350,32.75,700,90.0,95.0,32.25,37.3,-58.66,404.1,0.05,185096550,19435.3,50,9365100.0,5691250.0,165750,1718550,3.0,1635.0
3,NFO,Options,NIFTY,2023-09-07,Put,19350.0,44.65,01-Sep-2023 15:29:59,43.7,750,44.8,50,99.0,120.0,43.55,50.1,-55.22,454.6,0.05,102095200,19435.3,50,4537650.0,3305000.0,82000,737100,2.0,2232.5
4,NFO,Options,NIFTY,2023-09-07,Put,19400.0,60.6,01-Sep-2023 15:29:59,60.05,750,60.6,350,124.15,148.7,60.0,67.2,-51.19,508.3,0.05,119718050,19435.3,50,5888150.0,2140500.0,142300,914350,1.0,3030.0
5,NFO,Options,NIFTY,2023-09-07,Put,19450.0,81.05,01-Sep-2023 15:29:59,81.0,2800,81.7,50,174.95,181.3,80.75,88.9,-46.99,565.35,0.05,42933950,19435.3,50,1744350.0,1345750.0,61650,218300,0.0,4052.5
6,NFO,Options,NIFTY,2023-09-07,Put,19500.0,106.4,01-Sep-2023 15:29:59,106.0,2000,107.0,1150,193.0,217.8,105.6,114.95,-42.58,624.6,0.05,39896800,19435.3,50,2563300.0,564700.0,66100,210850,1.0,5320.0
7,NFO,Options,NIFTY,2023-09-07,Put,19550.0,136.15,01-Sep-2023 15:29:59,136.0,2850,137.0,350,232.2,257.55,136.05,145.9,-38.48,685.85,0.05,8483750,19435.3,50,648200.0,480000.0,13550,35650,2.0,6807.5
8,NFO,Options,NIFTY,2023-09-07,Put,19600.0,172.65,01-Sep-2023 15:29:59,172.2,500,173.65,1200,270.0,300.15,170.8,182.1,-34.19,750.35,0.05,8599250,19435.3,200,635300.0,231050.0,31100,56800,3.0,8632.5
9,NFO,Options,NIFTY,2023-09-07,Put,19650.0,214.8,01-Sep-2023 15:29:56,212.1,50,214.3,50,331.75,345.3,209.5,222.0,-29.74,815.05,0.05,1187750,19435.3,50,74400.0,46250.0,9550,13300,4.0,10740.0
10,NFO,Options,NIFTY,2023-09-07,Put,19700.0,255.75,01-Sep-2023 15:29:58,255.7,50,257.0,100,380.1,393.95,251.75,265.8,-27.03,879.1,0.05,1317050,19435.3,50,172200.0,35100.0,17400,30350,5.0,12787.5
