,exchange_code,product_type,stock_code,expiry_date,right,strike_price,ltp,ltt,best_bid_price,best_bid_quantity,best_offer_price,best_offer_quantity,open,high,low,previous_close,ltp_percent_change,upper_circuit,lower_circuit,total_quantity_traded,spot_price,ltq,open_interest,chnge_oi,total_buy_qty,total_sell_qty,rel_50,price_per_lot
0,NFO,Options,NIFTY,2023-09-14,Put,19050.0,83.55,25-Aug-2023 14:17:54,83.7,50,84.45,100,89.5,94.0,70.9,92.5,-9.68,365.25,0.05,14800,19265.6,50,11750.0,11650.0,18800,10200,5.0,4177.5
1,NFO,Options,NIFTY,2023-09-14,Put,19100.0,97.2,25-Aug-2023 14:18:38,95.9,50,96.55,1050,95.0,108.0,77.6,67.75,43.47,320.1,0.05,75050,19265.6,150,31550.0,31300.0,38950,29150,4.0,4860.0
2,NFO,Options,NIFTY,2023-09-14,Put,19200.0,126.95,25-Aug-2023 14:18:29,126.0,850,127.0,100,122.5,141.75,104.1,85.65,48.22,375.95,0.05,234800,19265.6,50,74700.0,51850.0,31850,29200,2.0,6347.5
3,NFO,Options,NIFTY,2023-09-14,Put,19250.0,147.0,25-Aug-2023 14:17:38,144.5,250,145.45,50,145.0,160.9,120.6,97.45,50.85,407.2,0.05,91950,19265.6,50,27150.0,24600.0,19700,15550,1.0,7350.0
4,NFO,Options,NIFTY,2023-09-14,Put,19300.0,165.05,25-Aug-2023 14:19:08,164.25,50,165.2,100,162.7,182.45,137.2,112.15,47.17,441.6,0.05,223400,19265.6,50,52400.0,27700.0,30600,29050,0.0,8252.5
5,NFO,Options,NIFTY,2023-09-14,Put,19350.0,169.55,25-Aug-2023 14:06:38,185.2,50,189.95,50,185.0,199.85,151.9,135.0,25.59,484.25,0.05,10450,19265.6,50,3550.0,800.0,9100,7100,1.0,8477.5
6,NFO,Options,NIFTY,2023-09-14,Put,19400.0,214.05,25-Aug-2023 14:17:39,210.2,50,211.35,50,172.1,232.05,172.1,152.25,40.59,521.3,0.05,123850,19265.6,100,42500.0,-3650.0,40000,23550,2.0,10702.5
7,NFO,Options,NIFTY,2023-09-14,Put,19450.0,217.5,25-Aug-2023 14:06:33,236.75,50,239.8,50,236.45,251.95,202.6,165.85,31.14,554.65,0.05,15400,19265.6,50,11350.0,2500.0,5350,3450,3.0,10875.0
8,NFO,Options,NIFTY,2023-09-14,Put,19500.0,268.2,25-Aug-2023 14:18:59,266.0,500,267.3,100,246.75,291.5,227.25,194.35,38.0,602.7,0.05,89550,19265.6,50,28750.0,11150.0,12600,18850,4.0,13410.0
9,NFO,Options,NIFTY,2023-09-14,Put,19550.0,234.55,24-Aug-2023 15:25:00,250.5,50,314.7,50,0.0,0.0,0.0,215.25,8.97,642.95,0.05,0,19265.6,50,950.0,0.0,600,600,5.0,11727.5
