,exchange_code,product_type,stock_code,expiry_date,right,strike_price,ltp,ltt,best_bid_price,best_bid_quantity,best_offer_price,best_offer_quantity,open,high,low,previous_close,ltp_percent_change,upper_circuit,lower_circuit,total_quantity_traded,spot_price,ltq,open_interest,chnge_oi,total_buy_qty,total_sell_qty,rel_50,price_per_lot
0,NFO,Options,NIFTY,2023-09-28,Put,19450.0,7.0,27-Sep-2023 12:26:33,7.0,3350,7.05,14150,8.5,27.1,6.5,7.85,-10.83,206.9,0.05,88879300,19656.55,250,6172000.0,2720050.0,767600,769000,5.0,350.0
1,NFO,Options,NIFTY,2023-09-28,Put,19500.0,11.6,27-Sep-2023 12:26:32,11.55,15300,11.6,50,18.0,43.4,10.45,12.95,-10.42,263.6,0.05,164425300,19656.55,150,14299250.0,5717200.0,1448850,2171050,4.0,580.0
2,NFO,Options,NIFTY,2023-09-28,Put,19550.0,18.8,27-Sep-2023 12:26:33,18.75,6200,18.85,14250,15.0,65.6,15.0,20.7,-9.18,327.1,0.05,143742050,19656.55,900,8693000.0,4441550.0,891000,1574250,3.0,940.0
3,NFO,Options,NIFTY,2023-09-28,Put,19600.0,30.8,27-Sep-2023 12:26:33,30.8,300,30.85,4600,31.0,95.0,26.95,33.45,-7.92,396.15,0.05,231856700,19656.55,150,17350750.0,8575000.0,1412050,2628250,2.0,1540.0
4,NFO,Options,NIFTY,2023-09-28,Put,19650.0,49.8,27-Sep-2023 12:26:34,49.7,1350,49.8,2000,65.0,130.5,44.2,51.1,-2.54,465.4,0.05,109659000,19656.55,550,7934100.0,2241300.0,1750850,1332250,1.0,2490.0
5,NFO,Options,NIFTY,2023-09-28,Put,19700.0,76.8,27-Sep-2023 12:26:34,76.85,2450,77.0,50,85.0,171.55,69.1,74.8,2.67,531.3,0.05,75547600,19656.55,300,7196450.0,418250.0,805000,1157550,0.0,3840.0
6,NFO,Options,NIFTY,2023-09-28,Put,19750.0,111.8,27-Sep-2023 12:26:34,111.55,250,111.75,900,127.55,216.3,101.8,105.8,5.67,593.75,0.05,15432600,19656.55,50,1551350.0,91800.0,228200,243000,1.0,5590.0
7,NFO,Options,NIFTY,2023-09-28,Put,19800.0,153.35,27-Sep-2023 12:26:34,153.05,200,153.4,1050,170.0,263.95,141.1,143.35,6.98,654.35,0.05,15617650,19656.55,100,3315250.0,-532550.0,255650,238400,2.0,7667.5
8,NFO,Options,NIFTY,2023-09-28,Put,19850.0,199.0,27-Sep-2023 12:26:29,198.55,800,199.0,300,212.85,311.05,186.3,185.05,7.54,712.25,0.05,2956250,19656.55,50,515950.0,-183800.0,116400,85800,3.0,9950.0
9,NFO,Options,NIFTY,2023-09-28,Put,19900.0,247.25,27-Sep-2023 12:26:29,246.3,50,246.8,200,274.75,360.35,233.25,230.55,7.24,768.95,0.05,2486150,19656.55,50,1627800.0,-233100.0,123950,76550,4.0,12362.5
10,NFO,Options,NIFTY,2023-09-28,Put,19950.0,295.1,27-Sep-2023 12:23:23,295.0,500,295.9,1350,319.1,409.9,282.3,279.0,5.77,840.65,0.05,216650,19656.55,100,301350.0,-54600.0,78100,46250,5.0,14755.0
