,exchange_code,product_type,stock_code,expiry_date,right,strike_price,ltp,ltt,best_bid_price,best_bid_quantity,best_offer_price,best_offer_quantity,open,high,low,previous_close,ltp_percent_change,upper_circuit,lower_circuit,total_quantity_traded,spot_price,ltq,open_interest,chnge_oi,total_buy_qty,total_sell_qty,rel_50,price_per_lot
0,NFO,Options,NIFTY,2023-07-13,Put,19200.0,39.35,06-Jul-2023 11:11:29,39.25,50,39.4,4050,54.1,57.6,37.8,49.15,-19.94,261.3,0.05,3713550,19446.5,150,1742450.0,166700.0,119400,304050,5.0,1967.5
1,NFO,Options,NIFTY,2023-07-13,Put,19250.0,49.2,06-Jul-2023 11:11:28,48.9,1900,49.1,1000,62.05,69.45,46.95,61.0,-19.34,299.05,0.05,1717950,19446.5,50,672100.0,124750.0,83400,114150,4.0,2460.0
2,NFO,Options,NIFTY,2023-07-13,Put,19300.0,60.95,06-Jul-2023 11:11:28,60.8,1700,61.0,1000,78.55,91.95,58.1,75.2,-18.95,340.1,0.05,5774100,19446.5,100,3223800.0,789050.0,145000,505750,3.0,3047.5
3,NFO,Options,NIFTY,2023-07-13,Put,19350.0,76.25,06-Jul-2023 11:11:28,76.25,1500,76.45,800,85.0,107.2,72.65,94.65,-19.44,387.1,0.05,3703300,19446.5,1750,1207950.0,476200.0,121250,204650,2.0,3812.5
4,NFO,Options,NIFTY,2023-07-13,Put,19400.0,95.4,06-Jul-2023 11:11:28,95.15,800,95.4,1200,120.0,134.65,90.0,114.8,-16.9,435.25,0.05,9975700,19446.5,50,3490350.0,1895200.0,232550,611800,1.0,4770.0
5,NFO,Options,NIFTY,2023-07-13,Put,19450.0,116.55,06-Jul-2023 11:11:28,116.35,700,116.7,1500,135.0,159.3,110.75,138.05,-15.57,486.65,0.05,2967250,19446.5,50,793550.0,504200.0,85050,146650,0.0,5827.5
6,NFO,Options,NIFTY,2023-07-13,Put,19500.0,142.95,06-Jul-2023 11:11:25,142.6,200,142.9,50,162.0,230.0,135.0,167.75,-14.78,544.35,0.05,3905450,19446.5,150,1466400.0,750550.0,116750,216700,1.0,7147.5
7,NFO,Options,NIFTY,2023-07-13,Put,19550.0,172.25,06-Jul-2023 11:11:25,171.6,350,171.95,350,218.55,218.55,163.25,198.55,-13.25,602.65,0.05,352350,19446.5,50,120350.0,67850.0,40300,40800,2.0,8612.5
8,NFO,Options,NIFTY,2023-07-13,Put,19600.0,204.15,06-Jul-2023 11:11:28,203.85,550,204.4,150,254.0,264.45,195.05,230.35,-11.37,661.2,0.05,743400,19446.5,200,259100.0,147050.0,41950,73600,3.0,10207.5
9,NFO,Options,NIFTY,2023-07-13,Put,19650.0,240.0,06-Jul-2023 11:11:02,240.95,700,241.5,100,286.0,289.4,230.7,270.8,-11.37,727.5,0.05,90700,19446.5,150,58350.0,31050.0,16850,15800,4.0,12000.0
10,NFO,Options,NIFTY,2023-07-13,Put,19700.0,281.7,06-Jul-2023 11:11:25,280.85,700,281.45,50,333.0,333.0,269.2,312.3,-9.8,793.5,0.05,234850,19446.5,200,119850.0,73300.0,27200,56350,5.0,14085.0
