close,datetime,exchange_code,high,low,open,stock_code,volume
492.0,2024-06-18 09:07:00,NSE,492.0,492.0,492.0,COALIN,0
489.4,2024-06-18 09:15:00,NSE,489.9,488.2,489.15,COALIN,70047
489.05,2024-06-18 09:16:00,NSE,489.9,489.05,489.5,COALIN,37869
490.45,2024-06-18 09:17:00,NSE,490.7,489.05,489.1,COALIN,66977
490.55,2024-06-18 09:18:00,NSE,491.3,490.2,490.45,COALIN,82622
490.85,2024-06-18 09:19:00,NSE,491.3,490.5,490.5,COALIN,24933
490.25,2024-06-18 09:20:00,NSE,491.25,490.25,491.15,COALIN,28574
490.2,2024-06-18 09:21:00,NSE,490.5,490.2,490.25,COALIN,27687
490.05,2024-06-18 09:22:00,NSE,490.55,490.0,490.2,COALIN,19245
489.2,2024-06-18 09:23:00,NSE,489.75,489.2,489.4,COALIN,44482
489.7,2024-06-18 09:24:00,NSE,489.95,488.95,488.95,COALIN,54815
490.25,2024-06-18 09:25:00,NSE,490.75,490.05,490.05,COALIN,45191
488.8,2024-06-18 09:26:00,NSE,489.7,488.8,489.7,COALIN,45447
489.25,2024-06-18 09:27:00,NSE,489.75,489.0,489.4,COALIN,13337
489.0,2024-06-18 09:28:00,NSE,489.5,489.0,489.4,COALIN,45492
488.85,2024-06-18 09:29:00,NSE,488.95,488.5,488.95,COALIN,11951
488.95,2024-06-18 09:30:00,NSE,489.45,488.9,489.15,COALIN,15633
489.5,2024-06-18 09:31:00,NSE,489.5,488.85,488.85,COALIN,11404
489.45,2024-06-18 09:32:00,NSE,489.55,489.25,489.35,COALIN,12375
489.75,2024-06-18 09:33:00,NSE,489.9,489.6,489.6,COALIN,12458
489.15,2024-06-18 09:34:00,NSE,489.75,489.05,489.5,COALIN,22831
489.4,2024-06-18 09:35:00,NSE,489.4,488.9,489.3,COALIN,8565
489.4,2024-06-18 09:36:00,NSE,489.4,489.0,489.1,COALIN,11531
489.2,2024-06-18 09:37:00,NSE,489.4,488.9,489.4,COALIN,18397
488.95,2024-06-18 09:38:00,NSE,489.15,488.7,489.0,COALIN,8055
488.65,2024-06-18 09:39:00,NSE,488.95,488.6,488.95,COALIN,17849
489.0,2024-06-18 09:40:00,NSE,489.0,488.8,488.95,COALIN,11530
488.4,2024-06-18 09:41:00,NSE,488.7,488.25,488.7,COALIN,27962
488.4,2024-06-18 09:42:00,NSE,488.45,488.2,488.4,COALIN,8093
488.0,2024-06-18 09:43:00,NSE,488.3,488.0,488.2,COALIN,27892
488.0,2024-06-18 09:44:00,NSE,488.4,488.0,488.25,COALIN,9927
488.4,2024-06-18 09:45:00,NSE,488.4,488.0,488.0,COALIN,7211
488.35,2024-06-18 09:46:00,NSE,488.35,488.05,488.1,COALIN,6034
488.7,2024-06-18 09:47:00,NSE,488.7,488.2,488.2,COALIN,11786
488.9,2024-06-18 09:48:00,NSE,488.95,488.8,488.8,COALIN,6539
488.85,2024-06-18 09:49:00,NSE,489.0,488.8,488.8,COALIN,10183
489.0,2024-06-18 09:50:00,NSE,489.2,488.8,488.85,COALIN,10972
489.0,2024-06-18 09:51:00,NSE,489.2,488.9,489.0,COALIN,19856
488.65,2024-06-18 09:52:00,NSE,489.0,488.65,489.0,COALIN,8034
488.65,2024-06-18 09:53:00,NSE,488.9,488.6,488.65,COALIN,7693
488.55,2024-06-18 09:54:00,NSE,488.85,488.55,488.65,COALIN,5474
488.1,2024-06-18 09:55:00,NSE,488.6,488.1,488.6,COALIN,28542
488.6,2024-06-18 09:56:00,NSE,488.6,487.95,488.15,COALIN,30598
488.55,2024-06-18 09:57:00,NSE,488.65,488.35,488.6,COALIN,8424
