,exchange_code,product_type,stock_code,expiry_date,right,strike_price,ltp,ltt,best_bid_price,best_bid_quantity,best_offer_price,best_offer_quantity,open,high,low,previous_close,ltp_percent_change,upper_circuit,lower_circuit,total_quantity_traded,spot_price,ltq,open_interest,chnge_oi,total_buy_qty,total_sell_qty,rel_50,price_per_lot
0,NFO,Options,NIFTY,2023-11-09,Call,18900.0,334.3,02-Nov-2023 15:28:17,334.4,150,334.9,400,267.95,335.8,234.05,195.0,71.44,724.4,0.05,1772700,19144.75,100,329250.0,90650.0,147300,12800,5.0,16715.0
1,NFO,Options,NIFTY,2023-11-09,Call,18950.0,289.65,02-Nov-2023 15:28:16,289.9,200,290.95,150,201.5,290.95,197.0,162.15,78.63,661.8,0.05,644750,19144.75,50,68500.0,-68600.0,216100,9750,4.0,14482.5
2,NFO,Options,NIFTY,2023-11-09,Call,19000.0,249.5,02-Nov-2023 15:28:19,249.0,800,249.7,100,161.5,249.85,161.05,133.75,86.54,602.0,0.05,10678650,19144.75,300,1503000.0,-564800.0,121000,41550,3.0,12475.0
3,NFO,Options,NIFTY,2023-11-09,Call,19050.0,209.65,02-Nov-2023 15:28:19,209.6,550,210.45,950,171.0,210.15,131.75,108.6,93.05,544.1,0.05,4169850,19144.75,50,348000.0,-157100.0,58800,13800,2.0,10482.5
4,NFO,Options,NIFTY,2023-11-09,Call,19100.0,173.25,02-Nov-2023 15:28:19,172.9,100,173.25,250,135.25,173.65,104.05,86.85,99.48,488.8,0.05,32394300,19144.75,100,3560550.0,1226850.0,275700,120300,1.0,8662.5
5,NFO,Options,NIFTY,2023-11-09,Call,19150.0,139.9,02-Nov-2023 15:28:21,139.7,800,139.9,150,109.2,140.0,80.35,67.85,106.19,435.8,0.05,19827400,19144.75,50,1367550.0,780150.0,253100,101750,0.0,6995.0
6,NFO,Options,NIFTY,2023-11-09,Call,19200.0,109.6,02-Nov-2023 15:28:21,109.6,1250,109.85,50,84.55,109.85,59.6,52.85,107.38,386.85,0.05,42733550,19144.75,1000,4428100.0,1971750.0,581050,345250,1.0,5480.0
7,NFO,Options,NIFTY,2023-11-09,Call,19250.0,84.0,02-Nov-2023 15:28:20,84.05,800,84.25,150,65.65,85.6,43.55,40.7,106.39,341.25,0.05,14740550,19144.75,200,1249550.0,734850.0,223600,117450,2.0,4200.0
8,NFO,Options,NIFTY,2023-11-09,Call,19300.0,62.45,02-Nov-2023 15:28:20,62.45,1550,62.55,250,48.55,65.3,31.35,31.05,101.13,299.05,0.05,25601000,19144.75,100,3416200.0,1762000.0,368850,206350,3.0,3122.5
9,NFO,Options,NIFTY,2023-11-09,Call,19350.0,45.15,02-Nov-2023 15:28:20,45.0,2450,45.15,100,44.45,49.0,22.05,22.95,96.73,259.8,0.05,10697850,19144.75,50,1427500.0,802750.0,213400,85600,4.0,2257.5
10,NFO,Options,NIFTY,2023-11-09,Call,19400.0,31.4,02-Nov-2023 15:28:20,31.4,2700,31.5,500,28.0,40.0,15.2,17.55,78.92,224.9,0.05,18911450,19144.75,50,3378700.0,2433650.0,266600,171700,5.0,1570.0
