,exchange_code,product_type,stock_code,expiry_date,right,strike_price,ltp,ltt,best_bid_price,best_bid_quantity,best_offer_price,best_offer_quantity,open,high,low,previous_close,ltp_percent_change,upper_circuit,lower_circuit,total_quantity_traded,spot_price,ltq,open_interest,chnge_oi,total_buy_qty,total_sell_qty,rel_50,price_per_lot
0,NFO,Options,NIFTY,2023-09-14,Call,19850.0,222.6,13-Sep-2023 15:29:58,223.3,50,224.0,150,167.0,259.95,135.0,227.8,26.73,961.4,0.1,13064750,20070,50,1215450.0,-194300.0,33550,15300,5.0,11130.0
1,NFO,Options,NIFTY,2023-09-14,Call,19900.0,176.35,13-Sep-2023 15:29:58,176.15,50,177.8,50,140.0,212.75,102.3,182.35,28.86,775.0,0.1,59239550,20070,50,1830200.0,-677000.0,94700,44400,4.0,8817.5
2,NFO,Options,NIFTY,2023-09-14,Call,19950.0,133.2,13-Sep-2023 15:29:59,133.2,17750,133.95,1950,96.85,167.6,70.35,138.4,31.95,588.2,0.1,91487750,20070,100,2115100.0,-303550.0,183900,75200,3.0,6660.0
3,NFO,Options,NIFTY,2023-09-14,Call,20000.0,94.0,13-Sep-2023 15:29:59,93.9,100,95.25,50,60.0,125.85,46.0,98.15,31.28,417.15,0.1,292629550,20070,50,5258800.0,-3551650.0,300550,404600,2.0,4700.0
4,NFO,Options,NIFTY,2023-09-14,Call,20050.0,63.5,13-Sep-2023 15:29:59,62.55,100,63.5,50,43.55,90.0,28.0,65.4,29.86,277.95,0.1,209599800,20070,50,4213900.0,-844100.0,229800,445500,1.0,3175.0
5,NFO,Options,NIFTY,2023-09-14,Call,20100.0,38.3,13-Sep-2023 15:29:59,38.3,100,39.0,36600,27.7,61.0,16.55,39.9,20.63,169.6,0.1,290364750,20070,50,11764300.0,399450.0,739650,1115650,0.0,1915.0
6,NFO,Options,NIFTY,2023-09-14,Call,20150.0,21.15,13-Sep-2023 15:29:59,21.1,50,21.2,50,17.4,38.4,10.0,21.55,3.17,91.6,0.05,172088200,20070,50,6962150.0,2076850.0,251950,612700,1.0,1057.5
7,NFO,Options,NIFTY,2023-09-14,Call,20200.0,11.0,13-Sep-2023 15:29:59,11.0,600,11.25,1350,12.2,23.2,6.15,10.8,-15.71,45.9,0.05,189548000,20070,1200,11498700.0,3365500.0,1471900,960050,2.0,550.0
8,NFO,Options,NIFTY,2023-09-14,Call,20250.0,5.45,13-Sep-2023 15:29:59,5.45,50,5.65,550,6.5,13.0,4.1,5.2,-33.54,22.1,0.05,99045450,20070,250,7881650.0,3816800.0,249100,527450,3.0,272.5
9,NFO,Options,NIFTY,2023-09-14,Call,20300.0,2.9,13-Sep-2023 15:29:59,2.95,850,3.1,700,5.0,8.0,2.4,2.85,-50.0,12.15,0.05,93711350,20070,50,8322100.0,3052250.0,608550,550350,4.0,145.0
10,NFO,Options,NIFTY,2023-09-14,Call,20350.0,1.75,13-Sep-2023 15:29:59,1.75,1400,1.85,200,3.5,5.3,1.5,1.7,-57.32,7.25,0.05,51698750,20070,50,3839250.0,620250.0,544150,274750,5.0,87.5
