,exchange_code,product_type,stock_code,expiry_date,right,strike_price,ltp,ltt,best_bid_price,best_bid_quantity,best_offer_price,best_offer_quantity,open,high,low,previous_close,ltp_percent_change,upper_circuit,lower_circuit,total_quantity_traded,spot_price,ltq,open_interest,chnge_oi,total_buy_qty,total_sell_qty,rel_50,price_per_lot
0,NFO,Options,NIFTY,2023-07-27,Call,19600.0,282.75,20-Jul-2023 11:08:18,282.95,200,283.5,850,284.25,289.8,243.75,287.7,-1.72,774.55,0.05,1929050,19835.4,100,1356100.0,-153850.0,147950,55700,5.0,14137.5
1,NFO,Options,NIFTY,2023-07-27,Call,19650.0,240.95,20-Jul-2023 11:08:14,242.65,50,242.9,700,240.85,249.25,207.0,243.8,-1.17,705.65,0.05,348250,19835.4,100,233100.0,-4900.0,61800,28350,4.0,12047.5
2,NFO,Options,NIFTY,2023-07-27,Call,19700.0,204.15,20-Jul-2023 11:08:17,204.95,150,205.5,1800,202.05,210.8,172.0,206.6,-1.19,642.2,0.05,4705200,19835.4,50,2070750.0,65100.0,270650,109500,3.0,10207.5
3,NFO,Options,NIFTY,2023-07-27,Call,19750.0,169.45,20-Jul-2023 11:08:17,169.45,1150,169.95,400,180.0,180.0,141.45,171.3,-1.08,579.85,0.05,2877750,19835.4,50,800750.0,65650.0,111650,95100,2.0,8472.5
4,NFO,Options,NIFTY,2023-07-27,Call,19800.0,139.65,20-Jul-2023 11:08:18,139.4,50,139.7,300,158.0,158.0,113.9,141.45,-1.27,522.25,0.05,15267350,19835.4,500,4700850.0,1296600.0,751200,304800,1.0,6982.5
5,NFO,Options,NIFTY,2023-07-27,Call,19850.0,111.55,20-Jul-2023 11:08:18,111.3,1100,111.6,650,128.4,128.4,90.35,113.95,-2.11,466.65,0.05,5428200,19835.4,100,1175600.0,428950.0,292850,179550,0.0,5577.5
6,NFO,Options,NIFTY,2023-07-27,Call,19900.0,87.4,20-Jul-2023 11:08:18,87.25,50,87.45,1500,101.0,103.0,70.0,89.75,-2.62,414.35,0.05,8496500,19835.4,50,2739700.0,610100.0,683850,256900,1.0,4370.0
7,NFO,Options,NIFTY,2023-07-27,Call,19950.0,66.05,20-Jul-2023 11:08:15,66.0,2250,66.2,200,77.85,78.0,53.0,69.3,-4.69,366.0,0.05,3134400,19835.4,50,1120500.0,202300.0,271900,122050,2.0,3302.5
8,NFO,Options,NIFTY,2023-07-27,Call,20000.0,49.65,20-Jul-2023 11:08:16,49.65,850,49.7,100,54.15,59.9,39.0,53.1,-6.5,322.5,0.05,8448550,19835.4,100,4616450.0,459100.0,429250,355250,3.0,2482.5
9,NFO,Options,NIFTY,2023-07-27,Call,20050.0,36.1,20-Jul-2023 11:08:16,36.4,200,36.45,500,44.0,44.0,28.2,39.5,-8.61,282.3,0.05,1489350,19835.4,100,478100.0,47200.0,193800,62300,4.0,1805.0
10,NFO,Options,NIFTY,2023-07-27,Call,20100.0,25.75,20-Jul-2023 11:08:16,25.75,1050,25.85,50,33.3,38.0,20.2,29.5,-12.71,246.8,0.05,4002500,19835.4,150,2234500.0,178650.0,250950,113200,5.0,1287.5
