close,exchange_code,high,low,open,stock_code,volume
18490.0,NSE,18499.0,18484.0,18495.0,NESIND,249
18463.55,NSE,18484.0,18444.45,18484.0,NESIND,1285
18500.0,NSE,18500.0,18455.25,18455.25,NESIND,711
18499.0,NSE,18500.0,18488.0,18500.0,NESIND,99
18485.3,NSE,18499.0,18485.25,18499.0,NESIND,135
18486.15,NSE,18497.6,18485.2,18485.25,NESIND,117
18497.95,NSE,18498.0,18487.4,18487.9,NESIND,87
18491.4,NSE,18500.0,18486.55,18500.0,NESIND,1010
18400.0,NSE,18498.0,18372.6,18498.0,NESIND,4431
18396.05,NSE,18404.05,18388.0,18400.0,NESIND,2509
18400.0,NSE,18400.0,18380.05,18400.0,NESIND,860
18400.0,NSE,18400.0,18395.0,18395.05,NESIND,660
18400.0,NSE,18407.65,18390.25,18400.0,NESIND,409
18400.0,NSE,18400.0,18391.15,18400.0,NESIND,212
18380.5,NSE,18407.6,18380.5,18399.95,NESIND,978
18399.75,NSE,18399.95,18385.0,18392.35,NESIND,196
18400.0,NSE,18400.0,18388.45,18390.05,NESIND,154
18400.0,NSE,18400.0,18395.0,18400.0,NESIND,396
18400.0,NSE,18400.0,18395.05,18400.0,NESIND,324
18399.95,NSE,18400.0,18390.0,18399.05,NESIND,257
18391.2,NSE,18400.0,18390.0,18390.5,NESIND,374
18399.75,NSE,18399.75,18392.0,18399.75,NESIND,134
18396.5,NSE,18400.0,18392.0,18392.15,NESIND,208
18400.0,NSE,18400.0,18391.05,18393.0,NESIND,165
18400.0,NSE,18400.0,18395.2,18400.0,NESIND,548
18397.1,NSE,18400.0,18396.05,18400.0,NESIND,177
18400.0,NSE,18400.0,18397.35,18397.35,NESIND,455
18400.0,NSE,18400.0,18396.0,18400.0,NESIND,455
18400.0,NSE,18405.0,18395.0,18399.6,NESIND,395
18400.0,NSE,18400.0,18396.1,18396.1,NESIND,130
18400.0,NSE,18400.0,18396.1,18397.0,NESIND,290
18400.0,NSE,18400.0,18398.0,18400.0,NESIND,145
18398.0,NSE,18401.5,18398.0,18400.0,NESIND,1517
18396.1,NSE,18409.95,18396.1,18398.0,NESIND,481
18400.0,NSE,18400.0,18396.0,18400.0,NESIND,295
18400.0,NSE,18400.0,18397.5,18400.0,NESIND,792
18400.0,NSE,18400.0,18396.0,18400.0,NESIND,451
18381.0,NSE,18400.0,18381.0,18396.0,NESIND,952
18390.0,NSE,18397.75,18385.35,18392.7,NESIND,151
18397.4,NSE,18398.35,18387.0,18388.1,NESIND,118
18395.1,NSE,18400.0,18388.2,18397.4,NESIND,298
18391.15,NSE,18400.0,18391.05,18400.0,NESIND,240
18392.1,NSE,18400.0,18391.15,18391.15,NESIND,105
18390.0,NSE,18390.05,18382.35,18390.0,NESIND,222
18395.0,NSE,18400.0,18384.05,18384.05,NESIND,106
18400.0,NSE,18406.35,18390.25,18395.0,NESIND,583
18399.95,NSE,18400.0,18392.05,18400.0,NESIND,143
18403.95,NSE,18404.0,18393.0,18399.95,NESIND,86
18444.95,NSE,18448.4,18407.0,18407.0,NESIND,386
18457.95,NSE,18461.3,18436.1,18444.95,NESIND,436
18470.0,NSE,18479.3,18448.5,18457.95,NESIND,441
18460.05,NSE,18479.25,18460.05,18470.0,NESIND,396
18469.0,NSE,18476.0,18460.0,18460.05,NESIND,304
18476.0,NSE,18476.0,18465.0,18465.0,NESIND,34
18472.85,NSE,18490.0,18468.0,18470.0,NESIND,691
18480.35,NSE,18485.0,18470.0,18484.95,NESIND,188
18475.05,NSE,18483.85,18461.65,18479.6,NESIND,298
18472.5,NSE,18479.9,18466.85,18476.35,NESIND,67
18469.75,NSE,18475.0,18461.05,18470.0,NESIND,103
18464.0,NSE,18473.0,18460.0,18473.0,NESIND,122
18461.9,NSE,18470.0,18460.0,18460.05,NESIND,75
18443.0,NSE,18458.1,18440.05,18458.1,NESIND,48
18466.95,NSE,18469.85,18443.0,18443.0,NESIND,58
18470.0,NSE,18479.9,18465.25,18470.0,NESIND,84
18479.95,NSE,18482.0,18466.9,18470.0,NESIND,70
18499.5,NSE,18510.0,18470.05,18480.0,NESIND,951
18482.7,NSE,18509.95,18482.15,18507.95,NESIND,146
18490.0,NSE,18494.95,18482.75,18494.95,NESIND,86
18496.6,NSE,18519.95,18486.15,18486.15,NESIND,381
18498.35,NSE,18500.0,18488.0,18492.6,NESIND,83
18498.0,NSE,18511.15,18490.05,18490.1,NESIND,271
18496.0,NSE,18500.0,18491.0,18498.05,NESIND,403
18491.0,NSE,18498.95,18490.0,18492.0,NESIND,270
18493.85,NSE,18501.0,18491.75,18497.95,NESIND,65
18495.0,NSE,18498.9,18483.45,18494.0,NESIND,475
18500.0,NSE,18500.0,18487.7,18491.35,NESIND,104
18490.05,NSE,18500.35,18490.0,18500.35,NESIND,66
18485.0,NSE,18499.9,18480.1,18490.05,NESIND,101
18489.95,NSE,18493.35,18481.0,18489.2,NESIND,41
18484.55,NSE,18498.4,18482.0,18482.1,NESIND,87
18482.15,NSE,18494.45,18482.15,18484.55,NESIND,30
18493.85,NSE,18493.95,18482.15,18482.15,NESIND,90
18477.45,NSE,18491.1,18477.45,18491.1,NESIND,114
18484.6,NSE,18485.8,18472.45,18484.85,NESIND,210
18495.85,NSE,18497.95,18472.25,18476.0,NESIND,147
18486.45,NSE,18496.4,18485.6,18486.95,NESIND,37
18485.95,NSE,18494.0,18485.55,18485.95,NESIND,32
18487.55,NSE,18499.0,18486.0,18486.0,NESIND,179
18485.55,NSE,18495.35,18485.55,18487.55,NESIND,40
18492.5,NSE,18498.0,18485.55,18485.55,NESIND,40
18503.8,NSE,18507.85,18492.85,18492.85,NESIND,257
18510.0,NSE,18513.35,18498.6,18500.0,NESIND,940
18497.3,NSE,18519.8,18490.05,18500.0,NESIND,873
18507.45,NSE,18513.5,18490.0,18490.05,NESIND,283
18511.3,NSE,18531.0,18491.25,18494.85,NESIND,743
18500.15,NSE,18509.75,18495.0,18509.7,NESIND,168
18521.45,NSE,18529.0,18500.0,18500.0,NESIND,378
18525.55,NSE,18549.0,18525.55,18531.0,NESIND,473
18545.75,NSE,18567.0,18529.0,18538.25,NESIND,728
18535.0,NSE,18550.0,18535.0,18550.0,NESIND,171
18546.1,NSE,18550.0,18529.0,18535.0,NESIND,385
18538.75,NSE,18551.5,18530.0,18547.25,NESIND,252
18526.8,NSE,18544.05,18525.05,18540.0,NESIND,215
18505.9,NSE,18527.7,18501.15,18525.0,NESIND,395
18514.95,NSE,18515.35,18501.0,18505.9,NESIND,117
