datetime,close,exchange_code,high,low,open,stock_code,volume
2021-05-10 09:30:00,256.55,NSE,257.2,256.15,256.7,HINPET,23078
2021-05-10 09:31:00,257.05,NSE,257.2,256.6,256.65,HINPET,22577
2021-05-10 09:32:00,256.65,NSE,257.2,256.55,257.2,HINPET,10343
2021-05-10 09:33:00,256.8,NSE,256.9,256.4,256.75,HINPET,17024
2021-05-10 09:34:00,256.95,NSE,257.25,256.65,256.8,HINPET,22082
2021-05-10 09:35:00,257.15,NSE,257.2,256.65,256.8,HINPET,22381
2021-05-10 09:36:00,256.8,NSE,257.0,256.3,257.0,HINPET,57276
2021-05-10 09:37:00,258.25,NSE,258.5,256.95,256.95,HINPET,132290
2021-05-10 09:38:00,258.1,NSE,258.25,258.0,258.05,HINPET,18069
2021-05-10 09:39:00,259.25,NSE,259.8,258.05,258.05,HINPET,147900
2021-05-10 09:40:00,257.5,NSE,259.1,257.5,258.95,HINPET,50975
2021-05-10 09:41:00,256.95,NSE,257.7,256.55,257.5,HINPET,75709
2021-05-10 09:42:00,256.5,NSE,257.25,256.5,256.85,HINPET,39290
2021-05-10 09:43:00,256.75,NSE,256.8,256.45,256.6,HINPET,16625
2021-05-10 09:44:00,256.55,NSE,256.75,256.0,256.75,HINPET,60486
2021-05-10 09:45:00,255.75,NSE,256.5,255.75,256.5,HINPET,20034
2021-05-10 09:46:00,255.5,NSE,256.0,255.4,255.8,HINPET,31640
2021-05-10 09:47:00,255.6,NSE,256.0,254.35,255.4,HINPET,73665
2021-05-10 09:48:00,255.2,NSE,255.8,254.8,255.8,HINPET,26573
2021-05-10 09:49:00,255.1,NSE,255.5,254.75,255.25,HINPET,31982
2021-05-10 09:50:00,255.05,NSE,255.65,254.8,255.2,HINPET,16923
2021-05-10 09:51:00,254.8,NSE,255.2,254.7,255.0,HINPET,14443
2021-05-10 09:52:00,255.0,NSE,255.6,254.75,254.75,HINPET,38528
2021-05-10 09:53:00,254.85,NSE,255.25,254.85,255.05,HINPET,34566
2021-05-10 09:54:00,255.0,NSE,255.2,254.85,254.85,HINPET,13034
2021-05-10 09:55:00,255.0,NSE,255.2,254.75,254.9,HINPET,9536
2021-05-10 09:56:00,255.0,NSE,255.25,254.6,255.0,HINPET,27358
2021-05-10 09:57:00,255.0,NSE,255.2,254.9,255.0,HINPET,14045
2021-05-10 09:58:00,255.0,NSE,255.15,254.95,255.1,HINPET,10905
2021-05-10 09:59:00,254.45,NSE,255.1,254.45,254.95,HINPET,18471
2021-05-10 10:00:00,253.8,NSE,254.7,253.65,254.55,HINPET,72865
2021-05-10 10:01:00,253.9,NSE,254.05,253.5,253.5,HINPET,16255
2021-05-10 10:02:00,254.45,NSE,254.45,253.85,253.85,HINPET,16746
2021-05-10 10:03:00,254.45,NSE,254.65,254.35,254.35,HINPET,13176
2021-05-10 10:04:00,254.45,NSE,254.5,254.3,254.45,HINPET,17234
2021-05-10 10:05:00,254.45,NSE,254.5,254.3,254.5,HINPET,5574
2021-05-10 10:06:00,254.55,NSE,254.55,254.35,254.35,HINPET,4177
2021-05-10 10:07:00,254.6,NSE,254.65,254.5,254.55,HINPET,4195
2021-05-10 10:08:00,255.0,NSE,255.05,254.6,254.6,HINPET,16882
2021-05-10 10:09:00,255.0,NSE,255.0,254.85,255.0,HINPET,12901
2021-05-10 10:10:00,254.95,NSE,255.25,254.75,254.9,HINPET,29383
2021-05-10 10:11:00,255.0,NSE,255.0,254.9,254.95,HINPET,7221
2021-05-10 10:12:00,255.05,NSE,255.05,254.9,255.0,HINPET,7574
2021-05-10 10:13:00,254.75,NSE,255.05,254.75,255.0,HINPET,7448
2021-05-10 10:14:00,254.65,NSE,254.85,254.65,254.75,HINPET,7772
2021-05-10 10:15:00,254.85,NSE,254.85,254.5,254.5,HINPET,10349
2021-05-10 10:16:00,254.85,NSE,254.9,254.7,254.7,HINPET,3755
2021-05-10 10:17:00,254.7,NSE,254.9,254.55,254.9,HINPET,2899
2021-05-10 10:18:00,254.75,NSE,254.75,254.6,254.7,HINPET,6580
2021-05-10 10:19:00,254.7,NSE,254.7,254.5,254.6,HINPET,7303
2021-05-10 10:20:00,254.75,NSE,254.8,254.65,254.65,HINPET,3010
2021-05-10 10:21:00,254.6,NSE,254.8,254.6,254.75,HINPET,3943
2021-05-10 10:22:00,254.9,NSE,255.05,254.7,254.9,HINPET,48739
2021-05-10 10:23:00,255.1,NSE,255.1,254.9,254.9,HINPET,5128
2021-05-10 10:24:00,255.0,NSE,255.05,254.9,255.0,HINPET,1899
2021-05-10 10:25:00,255.05,NSE,255.1,254.9,255.0,HINPET,6021
2021-05-10 10:26:00,255.15,NSE,255.2,254.9,255.0,HINPET,3931
2021-05-10 10:27:00,255.4,NSE,255.45,255.1,255.1,HINPET,8283
2021-05-10 10:28:00,255.3,NSE,255.5,255.3,255.4,HINPET,7835
2021-05-10 10:29:00,255.2,NSE,255.5,255.05,255.5,HINPET,12446
2021-05-10 10:30:00,255.5,NSE,255.65,255.2,255.2,HINPET,30668
2021-05-10 10:31:00,255.7,NSE,255.75,255.5,255.5,HINPET,8270
2021-05-10 10:32:00,255.9,NSE,255.9,255.65,255.65,HINPET,6235
2021-05-10 10:33:00,255.85,NSE,255.9,255.75,255.85,HINPET,8712
2021-05-10 10:34:00,255.7,NSE,256.0,255.65,255.8,HINPET,12090
2021-05-10 10:35:00,255.8,NSE,255.85,255.6,255.6,HINPET,9167
2021-05-10 10:36:00,255.7,NSE,255.85,255.6,255.7,HINPET,4661
2021-05-10 10:37:00,255.55,NSE,255.7,255.5,255.7,HINPET,5206
2021-05-10 10:38:00,255.3,NSE,255.55,255.15,255.5,HINPET,8563
2021-05-10 10:39:00,255.0,NSE,255.2,254.9,255.1,HINPET,12630
2021-05-10 10:40:00,255.0,NSE,255.0,254.95,255.0,HINPET,2544
2021-05-10 10:41:00,254.9,NSE,255.0,254.9,255.0,HINPET,2841
2021-05-10 10:42:00,255.0,NSE,255.0,254.9,254.95,HINPET,2208
2021-05-10 10:43:00,254.95,NSE,255.0,254.95,254.95,HINPET,3658
2021-05-10 10:44:00,254.8,NSE,254.95,254.6,254.95,HINPET,4511
2021-05-10 10:45:00,255.0,NSE,255.0,254.65,254.65,HINPET,3484
2021-05-10 10:46:00,254.8,NSE,255.05,254.65,254.9,HINPET,5885
2021-05-10 10:47:00,254.85,NSE,254.9,254.7,254.7,HINPET,1962
2021-05-10 10:48:00,255.0,NSE,255.0,254.75,254.75,HINPET,3316
2021-05-10 10:49:00,254.8,NSE,255.1,254.75,255.0,HINPET,3539
2021-05-10 10:50:00,255.0,NSE,255.0,254.75,254.8,HINPET,2565
2021-05-10 10:51:00,254.95,NSE,255.0,254.85,255.0,HINPET,4673
2021-05-10 10:52:00,255.0,NSE,255.05,254.8,254.95,HINPET,3576
2021-05-10 10:53:00,255.05,NSE,255.05,254.95,255.05,HINPET,3008
2021-05-10 10:54:00,254.55,NSE,255.05,254.55,255.05,HINPET,9549
2021-05-10 10:55:00,254.85,NSE,255.0,254.55,254.55,HINPET,9049
2021-05-10 10:56:00,254.8,NSE,255.0,254.7,254.9,HINPET,7829
2021-05-10 10:57:00,254.65,NSE,254.85,254.5,254.8,HINPET,6431
2021-05-10 10:58:00,255.0,NSE,255.0,254.7,254.75,HINPET,14078
2021-05-10 10:59:00,254.95,NSE,255.0,254.8,255.0,HINPET,6868
2021-05-10 11:00:00,255.1,NSE,255.1,254.85,254.95,HINPET,8269
2021-05-10 11:01:00,255.0,NSE,255.05,254.9,255.0,HINPET,1263
2021-05-10 11:02:00,255.0,NSE,255.0,254.95,255.0,HINPET,4136
2021-05-10 11:03:00,255.0,NSE,255.0,254.9,255.0,HINPET,8918
2021-05-10 11:04:00,255.1,NSE,255.15,254.95,255.0,HINPET,2865
2021-05-10 11:05:00,255.1,NSE,255.2,254.95,255.2,HINPET,3024
2021-05-10 11:06:00,255.25,NSE,255.35,255.0,255.0,HINPET,5445
2021-05-10 11:07:00,255.15,NSE,255.3,255.0,255.3,HINPET,3712
2021-05-10 11:08:00,255.15,NSE,255.2,255.05,255.15,HINPET,1871
2021-05-10 11:09:00,255.1,NSE,255.2,255.05,255.1,HINPET,3521
