close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
107.25,2023-09-25 09:15:00,NFO,2023-10-26,115.05,107.25,109.0,367950,Options,Call,NIFTY,20100.0,6800
107.15,2023-09-25 09:16:00,NFO,2023-10-26,108.2,105.0,105.15,367950,Options,Call,NIFTY,20100.0,9300
105.3,2023-09-25 09:17:00,NFO,2023-10-26,107.0,104.3,107.0,372000,Options,Call,NIFTY,20100.0,9500
105.0,2023-09-25 09:18:00,NFO,2023-10-26,105.75,104.2,104.95,372000,Options,Call,NIFTY,20100.0,10600
105.55,2023-09-25 09:19:00,NFO,2023-10-26,107.15,104.5,105.0,372000,Options,Call,NIFTY,20100.0,4100
111.6,2023-09-25 09:20:00,NFO,2023-10-26,111.6,106.8,106.8,377650,Options,Call,NIFTY,20100.0,5050
111.0,2023-09-25 09:21:00,NFO,2023-10-26,114.3,110.9,110.9,377650,Options,Call,NIFTY,20100.0,4450
115.2,2023-09-25 09:22:00,NFO,2023-10-26,115.75,111.6,111.6,377650,Options,Call,NIFTY,20100.0,2950
111.9,2023-09-25 09:23:00,NFO,2023-10-26,115.05,111.75,115.05,377750,Options,Call,NIFTY,20100.0,3200
108.95,2023-09-25 09:24:00,NFO,2023-10-26,111.0,106.85,110.5,377750,Options,Call,NIFTY,20100.0,3350
108.55,2023-09-25 09:25:00,NFO,2023-10-26,109.6,106.6,108.45,377750,Options,Call,NIFTY,20100.0,5750
110.2,2023-09-25 09:26:00,NFO,2023-10-26,112.5,108.75,108.75,379650,Options,Call,NIFTY,20100.0,4300
110.7,2023-09-25 09:27:00,NFO,2023-10-26,111.9,108.8,109.5,379650,Options,Call,NIFTY,20100.0,4600
109.6,2023-09-25 09:28:00,NFO,2023-10-26,112.0,109.6,111.1,379650,Options,Call,NIFTY,20100.0,3550
107.45,2023-09-25 09:29:00,NFO,2023-10-26,108.85,106.85,108.85,378750,Options,Call,NIFTY,20100.0,1400
106.8,2023-09-25 09:30:00,NFO,2023-10-26,108.0,106.0,106.35,378750,Options,Call,NIFTY,20100.0,1200
106.2,2023-09-25 09:31:00,NFO,2023-10-26,109.75,106.2,108.0,378750,Options,Call,NIFTY,20100.0,800
108.75,2023-09-25 09:32:00,NFO,2023-10-26,109.0,103.85,105.55,369650,Options,Call,NIFTY,20100.0,18000
