close,exchange_code,high,low,open,stock_code,volume
122.5,NSE,123.05,122.5,123.05,BHAELE,74201
122.65,NSE,122.65,122.5,122.6,BHAELE,36010
122.5,NSE,122.65,122.3,122.65,BHAELE,169119
122.35,NSE,122.45,122.25,122.4,BHAELE,40440
122.2,NSE,122.25,122.15,122.25,BHAELE,113359
122.6,NSE,122.7,122.25,122.25,BHAELE,83972
122.7,NSE,122.75,122.55,122.6,BHAELE,29163
122.25,NSE,122.75,122.25,122.75,BHAELE,90476
122.1,NSE,122.3,121.85,122.3,BHAELE,213149
121.85,NSE,122.05,121.8,122.05,BHAELE,71112
121.7,NSE,121.85,121.65,121.85,BHAELE,108759
121.75,NSE,121.9,121.65,121.65,BHAELE,93626
121.55,NSE,121.7,121.45,121.7,BHAELE,172937
121.75,NSE,121.75,121.4,121.5,BHAELE,38255
121.4,NSE,121.65,121.3,121.6,BHAELE,47588
121.75,NSE,121.85,121.35,121.4,BHAELE,59095
122.05,NSE,122.1,121.75,121.75,BHAELE,56713
121.85,NSE,122.1,121.8,122.1,BHAELE,27594
122.0,NSE,122.0,121.85,121.85,BHAELE,18874
122.3,NSE,122.4,121.95,122.0,BHAELE,57147
122.2,NSE,122.35,122.2,122.35,BHAELE,95796
122.5,NSE,122.55,122.25,122.25,BHAELE,28938
122.75,NSE,122.85,122.45,122.45,BHAELE,46002
122.8,NSE,122.85,122.7,122.85,BHAELE,70738
122.8,NSE,122.9,122.8,122.8,BHAELE,43756
122.95,NSE,123.0,122.75,122.75,BHAELE,27039
122.7,NSE,122.9,122.65,122.9,BHAELE,26267
122.9,NSE,122.9,122.65,122.7,BHAELE,11717
122.9,NSE,122.95,122.85,122.9,BHAELE,24428
123.1,NSE,123.1,122.9,122.9,BHAELE,108647
122.8,NSE,123.1,122.7,123.05,BHAELE,41203
122.55,NSE,122.8,122.55,122.7,BHAELE,36535
122.5,NSE,122.65,122.5,122.55,BHAELE,60626
122.6,NSE,122.6,122.4,122.55,BHAELE,19298
122.6,NSE,122.6,122.5,122.55,BHAELE,14655
122.35,NSE,122.6,122.35,122.6,BHAELE,43717
122.2,NSE,122.45,122.1,122.45,BHAELE,32011
122.0,NSE,122.15,121.95,122.15,BHAELE,55233
122.1,NSE,122.15,122.0,122.0,BHAELE,16035
122.15,NSE,122.15,122.1,122.15,BHAELE,7312
122.15,NSE,122.2,122.1,122.1,BHAELE,12221
122.05,NSE,122.25,122.05,122.25,BHAELE,15487
122.0,NSE,122.1,122.0,122.05,BHAELE,15897
122.2,NSE,122.2,122.0,122.0,BHAELE,11019
122.3,NSE,122.35,122.25,122.25,BHAELE,11209
122.3,NSE,122.4,122.25,122.3,BHAELE,11894
122.2,NSE,122.35,122.15,122.35,BHAELE,13998
122.25,NSE,122.3,122.2,122.2,BHAELE,7050
122.2,NSE,122.3,122.2,122.2,BHAELE,3020
122.15,NSE,122.2,122.1,122.2,BHAELE,14619
122.25,NSE,122.3,122.15,122.15,BHAELE,17886
122.35,NSE,122.45,122.3,122.3,BHAELE,10492
122.4,NSE,122.45,122.35,122.4,BHAELE,8324
122.45,NSE,122.5,122.4,122.4,BHAELE,6146
122.4,NSE,122.5,122.4,122.5,BHAELE,13888
122.4,NSE,122.5,122.35,122.4,BHAELE,48033
122.45,NSE,122.5,122.4,122.4,BHAELE,5369
122.55,NSE,122.55,122.45,122.45,BHAELE,3160
122.6,NSE,122.65,122.55,122.55,BHAELE,7905
122.65,NSE,122.65,122.6,122.6,BHAELE,13688
122.85,NSE,122.95,122.7,122.7,BHAELE,41893
122.85,NSE,122.95,122.85,122.85,BHAELE,47771
122.75,NSE,122.95,122.75,122.85,BHAELE,10353
122.75,NSE,122.85,122.75,122.75,BHAELE,12480
122.8,NSE,122.85,122.75,122.75,BHAELE,3687
122.8,NSE,122.85,122.75,122.8,BHAELE,16504
122.8,NSE,122.95,122.8,122.8,BHAELE,15038
122.75,NSE,122.95,122.75,122.9,BHAELE,8740
122.75,NSE,122.8,122.75,122.75,BHAELE,2869
122.65,NSE,122.8,122.65,122.8,BHAELE,21610
122.4,NSE,122.7,122.4,122.65,BHAELE,17422
122.5,NSE,122.55,122.4,122.4,BHAELE,6046
122.5,NSE,122.55,122.45,122.5,BHAELE,8617
122.55,NSE,122.6,122.5,122.5,BHAELE,2585
122.35,NSE,122.6,122.35,122.6,BHAELE,16211
122.35,NSE,122.4,122.3,122.3,BHAELE,5614
122.4,NSE,122.45,122.35,122.35,BHAELE,6476
122.3,NSE,122.45,122.3,122.45,BHAELE,9480
122.25,NSE,122.3,122.25,122.3,BHAELE,10241
122.25,NSE,122.3,122.25,122.25,BHAELE,5869
122.05,NSE,122.25,122.05,122.25,BHAELE,27596
122.0,NSE,122.05,121.9,122.0,BHAELE,75059
122.0,NSE,122.0,121.95,122.0,BHAELE,14931
122.0,NSE,122.0,121.95,122.0,BHAELE,5918
121.95,NSE,122.0,121.95,122.0,BHAELE,16103
121.9,NSE,122.0,121.85,121.95,BHAELE,33380
121.7,NSE,121.9,121.7,121.9,BHAELE,28511
121.75,NSE,121.8,121.7,121.75,BHAELE,28886
122.05,NSE,122.05,121.7,121.75,BHAELE,48874
122.25,NSE,122.35,122.15,122.15,BHAELE,21562
122.25,NSE,122.25,122.15,122.2,BHAELE,9580
122.0,NSE,122.25,122.0,122.2,BHAELE,9857
122.0,NSE,122.05,122.0,122.0,BHAELE,4858
122.0,NSE,122.05,121.95,122.0,BHAELE,24430
122.0,NSE,122.0,121.9,121.9,BHAELE,1757
121.95,NSE,122.0,121.9,121.9,BHAELE,9919
121.9,NSE,122.0,121.9,121.95,BHAELE,17504
121.8,NSE,121.9,121.7,121.85,BHAELE,33262
121.8,NSE,121.85,121.7,121.85,BHAELE,35913
121.7,NSE,121.8,121.7,121.8,BHAELE,4706
121.9,NSE,121.9,121.75,121.75,BHAELE,13862
121.9,NSE,121.95,121.85,121.85,BHAELE,19755
122.05,NSE,122.1,121.9,121.9,BHAELE,26940
122.05,NSE,122.1,122.0,122.05,BHAELE,9010
122.15,NSE,122.15,122.05,122.05,BHAELE,5452
121.95,NSE,122.15,121.9,122.1,BHAELE,55755
121.85,NSE,122.0,121.75,122.0,BHAELE,31398
121.8,NSE,121.85,121.75,121.85,BHAELE,7429
121.65,NSE,121.8,121.6,121.75,BHAELE,60639
121.8,NSE,121.85,121.65,121.7,BHAELE,17001
